date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20090803,1800,,TD,11.0N,121.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090804,0000,,TS,11.5N,122.4W,35,1004,45/60/30/40,0/0/0/0,0/0/0/0
20090804,0600,,TS,11.8N,123.7W,45,1000,45/60/30/40,0/0/0/0,0/0/0/0
20090804,1200,,TS,12.0N,124.9W,55,994,45/60/45/45,0/30/0/0,0/0/0/0
20090804,1800,,HU,12.2N,126.1W,65,987,50/75/40/50,30/40/20/30,25/30/10/20
20090805,0000,,HU,12.6N,126.9W,75,980,60/75/40/50,40/50/20/30,25/30/10/20
20090805,0600,,HU,13.2N,127.6W,85,972,75/90/50/60,40/50/25/30,30/30/15/20
20090805,1200,,HU,13.7N,128.5W,100,960,90/100/50/60,45/50/25/30,30/30/20/20
20090805,1800,,HU,14.2N,129.3W,115,948,100/120/60/75,60/75/40/45,35/35/25/25
20090806,0000,,HU,14.7N,130.1W,125,935,100/120/75/90,60/75/40/45,35/35/25/25
20090806,0600,,HU,15.1N,130.8W,125,935,100/135/75/90,60/75/40/45,35/35/25/25
20090806,1200,,HU,15.7N,131.5W,120,940,100/135/75/90,60/75/40/45,35/35/25/25
20090806,1800,,HU,16.2N,132.3W,115,944,100/120/75/90,60/75/40/45,35/35/25/25
20090807,0000,,HU,16.7N,133.2W,115,948,100/120/75/90,60/75/40/45,35/35/25/25
20090807,0600,,HU,17.3N,134.0W,105,955,100/120/60/75,60/60/40/45,35/35/25/25
20090807,1200,,HU,17.7N,135.2W,100,960,100/100/60/75,60/60/40/45,35/35/25/25
20090807,1800,,HU,18.1N,136.3W,95,965,90/90/50/75,45/35/35/45,30/25/20/30
20090808,0000,,HU,18.6N,137.4W,90,970,90/75/60/75,45/35/35/45,30/25/20/30
20090808,0600,,HU,18.9N,138.7W,85,973,90/75/60/75,45/35/35/45,30/25/20/30
20090808,1200,,HU,19.2N,140.1W,80,976,100/75/60/90,50/35/35/45,30/20/20/30
20090808,1800,,HU,19.6N,141.4W,75,981,100/75/60/90,50/35/20/45,30/20/0/30
20090809,0000,,HU,19.9N,142.7W,75,982,100/75/60/90,50/35/20/45,30/20/0/30
20090809,0600,,HU,20.2N,144.0W,70,984,100/75/60/90,50/35/20/45,30/20/0/30
20090809,1200,,TS,20.5N,145.3W,60,994,100/65/50/90,50/30/0/45,0/0/0/0
20090809,1800,,TS,20.9N,146.5W,50,1001,100/65/50/90,45/0/0/45,0/0/0/0
20090810,0000,,TS,21.0N,147.7W,45,1002,100/50/40/90,0/0/0/0,0/0/0/0
20090810,0600,,TS,21.0N,148.7W,45,1003,100/40/40/90,0/0/0/0,0/0/0/0
20090810,1200,,TS,20.9N,149.6W,40,1005,100/35/35/90,0/0/0/0,0/0/0/0
20090810,1800,,TS,20.9N,150.6W,40,1007,100/0/0/90,0/0/0/0,0/0/0/0
20090811,0000,,TS,20.9N,151.6W,35,1008,100/0/0/90,0/0/0/0,0/0/0/0
20090811,0600,,TS,20.9N,152.5W,35,1009,90/0/0/75,0/0/0/0,0/0/0/0
20090811,1200,,TD,20.8N,153.3W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20090811,1800,,LO,20.7N,154.2W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
