date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20090812,0000,,LO,13.8N,112.3W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20090812,0600,,LO,14.4N,113.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20090812,1200,,TD,15.0N,115.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20090812,1800,,TD,15.6N,117.1W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20090813,0000,,TS,16.1N,118.5W,35,1004,75/75/0/60,0/0/0/0,0/0/0/0
20090813,0600,,TS,16.5N,119.9W,45,999,75/75/30/60,0/0/0/0,0/0/0/0
20090813,1200,,TS,16.8N,121.2W,55,994,90/90/45/60,25/0/0/25,0/0/0/0
20090813,1800,,TS,17.0N,122.5W,60,992,90/90/60/60,25/25/20/25,0/0/0/0
20090814,0000,,TS,17.2N,123.8W,60,992,90/75/60/60,25/25/25/25,0/0/0/0
20090814,0600,,HU,17.4N,125.2W,65,987,90/60/60/75,30/30/30/30,15/0/0/15
20090814,1200,,HU,17.6N,126.7W,70,984,90/60/70/80,40/30/30/40,20/15/15/20
20090814,1800,,HU,17.9N,128.2W,85,972,100/80/80/100,50/40/40/50,25/20/20/25
20090815,0000,,HU,18.2N,129.7W,95,965,100/80/80/100,50/40/40/50,25/25/25/25
20090815,0600,,HU,18.5N,131.2W,100,960,100/80/70/100,60/45/45/50,30/25/25/30
20090815,1200,,HU,18.7N,132.6W,110,954,100/80/70/100,60/45/45/50,35/30/30/35
20090815,1800,,HU,19.0N,133.9W,100,958,100/70/60/90,60/45/45/50,30/30/30/30
20090816,0000,,HU,19.3N,135.3W,95,960,100/70/60/90,60/40/40/50,30/25/25/30
20090816,0600,,HU,19.6N,136.7W,90,964,100/70/60/90,60/40/40/50,30/25/25/30
20090816,1200,,HU,19.9N,138.0W,85,973,100/70/60/90,60/40/40/50,30/25/25/30
20090816,1800,,HU,20.2N,139.2W,75,980,100/70/45/75,60/40/30/40,30/20/20/30
20090817,0000,,HU,20.4N,140.5W,65,986,100/70/45/75,60/40/30/40,30/0/0/30
20090817,0600,,TS,20.7N,142.0W,55,993,100/50/30/75,50/30/20/40,0/0/0/0
20090817,1200,,TS,21.1N,143.7W,50,997,100/30/0/75,40/0/0/30,0/0/0/0
20090817,1800,,TS,21.7N,145.4W,45,1000,120/30/0/100,0/0/0/0,0/0/0/0
20090818,0000,,TS,22.6N,146.9W,45,1000,120/30/0/100,0/0/0/0,0/0/0/0
20090818,0600,,TS,23.7N,148.1W,45,1000,150/0/0/120,0/0/0/0,0/0/0/0
20090818,1200,,TS,25.1N,149.1W,45,1000,150/0/0/120,0/0/0/0,0/0/0/0
20090818,1800,,TS,26.4N,150.3W,45,1001,150/0/0/120,0/0/0/0,0/0/0/0
20090819,0000,,TS,27.7N,151.5W,40,1003,150/0/0/120,0/0/0/0,0/0/0/0
20090819,0600,,TS,28.7N,152.8W,35,1006,150/0/0/120,0/0/0/0,0/0/0/0
20090819,1200,,TS,29.5N,154.1W,35,1009,150/0/0/120,0/0/0/0,0/0/0/0
20090819,1800,,LO,30.4N,155.3W,30,1012,0/0/0/0,0/0/0/0,0/0/0/0
20090820,0000,,LO,31.3N,156.3W,30,1014,0/0/0/0,0/0/0/0,0/0/0/0
20090820,0600,,LO,32.1N,157.1W,30,1016,0/0/0/0,0/0/0/0,0/0/0/0
20090820,1200,,EX,33.2N,157.5W,40,1015,120/0/0/120,0/0/0/0,0/0/0/0
20090820,1800,,EX,34.3N,157.6W,40,1015,120/0/0/120,0/0/0/0,0/0/0/0
20090821,0000,,EX,35.1N,157.5W,40,1015,120/0/0/120,0/0/0/0,0/0/0/0
20090821,0600,,EX,35.6N,157.4W,35,1017,90/0/0/90,0/0/0/0,0/0/0/0
20090821,1200,,EX,36.0N,157.2W,30,1019,0/0/0/0,0/0/0/0,0/0/0/0
20090821,1800,,EX,36.4N,157.0W,30,1020,0/0/0/0,0/0/0/0,0/0/0/0
20090822,0000,,EX,36.8N,156.8W,30,1021,0/0/0/0,0/0/0/0,0/0/0/0
20090822,0600,,EX,37.2N,156.6W,30,1021,0/0/0/0,0/0/0/0,0/0/0/0
20090822,1200,,EX,37.6N,156.3W,30,1021,0/0/0/0,0/0/0/0,0/0/0/0
20090822,1800,,EX,38.2N,155.8W,30,1021,0/0/0/0,0/0/0/0,0/0/0/0
20090823,0000,,EX,38.9N,154.9W,30,1021,0/0/0/0,0/0/0/0,0/0/0/0
20090823,0600,,EX,39.7N,153.7W,30,1021,0/0/0/0,0/0/0/0,0/0/0/0
