date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20090828,0000,,LO,13.4N,96.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20090828,0600,,LO,13.5N,97.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20090828,1200,,LO,13.5N,99.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20090828,1800,,TD,13.6N,100.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090829,0000,,TS,13.7N,101.0W,35,1005,20/0/0/0,0/0/0/0,0/0/0/0
20090829,0600,,TS,13.8N,101.9W,45,1000,40/30/20/30,0/0/0/0,0/0/0/0
20090829,1200,,TS,14.2N,102.9W,60,990,60/50/40/50,25/20/15/25,0/0/0/0
20090829,1800,,HU,14.8N,103.8W,75,980,60/50/40/50,30/25/20/25,20/15/10/15
20090830,0000,,HU,15.4N,104.7W,90,970,60/50/40/50,30/25/20/25,20/15/10/15
20090830,0600,,HU,15.7N,105.5W,105,957,60/60/50/60,30/30/20/30,20/15/10/15
20090830,1200,,HU,16.0N,106.0W,115,948,60/60/50/60,30/30/20/30,20/20/10/15
20090830,1800,,HU,16.3N,106.6W,120,945,60/60/50/60,30/30/20/30,20/20/10/15
20090831,0000,,HU,16.7N,107.1W,120,945,60/60/50/60,30/30/20/30,20/20/10/15
20090831,0600,,HU,17.2N,107.6W,120,945,90/65/60/75,45/35/35/45,25/20/15/20
20090831,1200,,HU,17.7N,108.2W,120,945,120/70/70/90,60/40/50/60,30/20/15/20
20090831,1800,,HU,18.2N,108.9W,135,935,120/80/90/110,70/40/60/75,40/20/15/20
20090831,1900,I,HU,18.3N,109.0W,135,931,120/80/90/110,70/40/60/75,40/20/15/20
20090901,0000,,HU,18.9N,109.4W,135,931,120/80/100/110,70/40/60/75,40/20/20/20
20090901,0600,,HU,19.7N,109.9W,130,933,120/80/100/110,70/40/60/75,40/20/20/20
20090901,1200,,HU,20.6N,110.5W,125,940,120/90/100/110,70/40/50/60,40/25/25/25
20090901,1800,,HU,21.5N,111.0W,115,948,120/100/100/110,70/50/40/50,40/30/25/30
20090902,0000,,HU,22.4N,111.4W,105,957,120/100/80/110,70/50/40/50,45/25/20/25
20090902,0600,,HU,23.4N,111.7W,95,965,120/90/60/100,70/50/30/50,45/20/15/15
20090902,1200,L,HU,24.6N,112.0W,90,971,120/90/60/100,70/50/30/50,30/20/15/15
20090902,1300,L,HU,24.8N,112.1W,90,972,120/90/60/100,70/50/30/50,30/20/15/15
20090902,1800,,HU,25.8N,112.4W,80,977,120/90/60/100,70/50/30/50,30/20/15/15
20090902,2100,L,HU,26.3N,112.4W,75,980,120/90/60/100,70/50/30/50,30/20/15/15
20090903,0000,,HU,26.7N,112.4W,65,985,120/90/50/100,70/50/25/50,25/20/0/0
20090903,0600,,TS,27.4N,112.3W,50,997,105/90/45/60,50/50/0/0,0/0/0/0
20090903,1200,,TS,27.6N,112.3W,45,999,90/90/45/45,0/0/0/0,0/0/0/0
20090903,1800,,TS,27.8N,112.1W,40,1002,45/75/0/0,0/0/0/0,0/0/0/0
20090904,0000,,TS,27.6N,111.9W,35,1004,45/60/0/0,0/0/0/0,0/0/0/0
20090904,0600,,TD,27.5N,111.7W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20090904,1200,,TD,27.7N,111.7W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20090904,1800,,TD,27.4N,112.2W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20090904,1900,L,TD,27.4N,112.3W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20090905,0000,,LO,27.2N,112.5W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20090905,0600,,LO,26.9N,112.9W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20090905,1200,,LO,26.5N,113.3W,15,1010,0/0/0/0,0/0/0/0,0/0/0/0
