date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20091001,1200,,TD,19.0N,117.3W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20091001,1800,,TS,19.6N,117.4W,35,1000,0/75/0/0,0/0/0/0,0/0/0/0
20091002,0000,,TS,20.4N,117.4W,40,997,40/75/0/0,0/0/0/0,0/0/0/0
20091002,0600,,TS,21.5N,117.4W,40,996,80/100/0/0,0/0/0/0,0/0/0/0
20091002,1200,,TS,22.6N,117.5W,40,996,80/100/0/0,0/0/0/0,0/0/0/0
20091002,1800,,TS,23.3N,117.5W,35,997,75/75/0/75,0/0/0/0,0/0/0/0
20091003,0000,,TS,23.8N,117.3W,35,997,75/75/0/75,0/0/0/0,0/0/0/0
20091003,0600,,TD,24.0N,116.7W,30,998,0/0/0/0,0/0/0/0,0/0/0/0
20091003,1200,,TD,23.9N,115.6W,30,998,0/0/0/0,0/0/0/0,0/0/0/0
20091003,1800,,LO,23.8N,114.3W,30,999,0/0/0/0,0/0/0/0,0/0/0/0
20091004,0000,,LO,23.9N,113.0W,25,1000,0/0/0/0,0/0/0/0,0/0/0/0
20091004,0600,,LO,24.2N,111.8W,25,1002,0/0/0/0,0/0/0/0,0/0/0/0
20091004,1200,,LO,24.5N,111.2W,25,1003,0/0/0/0,0/0/0/0,0/0/0/0
