date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20091011,1800,,TD,17.1N,108.2W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20091012,0000,,TS,17.7N,108.7W,35,1003,0/30/30/0,0/0/0/0,0/0/0/0
20091012,0600,,TS,18.3N,109.2W,40,1001,30/45/45/0,0/0/0/0,0/0/0/0
20091012,1200,,TS,18.8N,109.5W,50,997,30/60/45/0,0/40/0/0,0/0/0/0
20091012,1800,,TS,19.3N,109.5W,50,997,30/90/60/0,0/50/0/0,0/0/0/0
20091013,0000,,TS,19.8N,109.4W,50,996,30/90/90/0,0/60/60/0,0/0/0/0
20091013,0600,,TS,20.4N,109.2W,50,997,30/75/90/0,0/40/60/0,0/0/0/0
20091013,1200,,TS,21.1N,109.0W,45,1000,45/75/75/0,0/0/0/0,0/0/0/0
20091013,1800,,TS,21.9N,108.9W,40,1002,60/75/45/0,0/0/0/0,0/0/0/0
20091014,0000,,TS,22.4N,109.1W,35,1004,75/75/45/0,0/0/0/0,0/0/0/0
20091014,0600,,LO,22.6N,109.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20091014,1200,,LO,22.7N,110.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20091014,1800,,LO,22.8N,111.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20091015,0000,,LO,22.7N,111.9W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20091015,0600,,LO,22.5N,112.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20091015,1200,,LO,22.3N,112.9W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
