date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20101216,0000,,EX,30.0N,175.0E,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20101216,0600,,EX,29.0N,176.0E,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20101216,1200,,EX,28.0N,177.0E,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20101216,1800,,EX,27.0N,179.0E,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20101217,0000,,EX,26.0N,180.0W,25,1004,0/0/0/0,0/0/0/0,0/0/0/0
20101217,0600,,EX,25.6N,179.5W,25,1004,0/0/0/0,0/0/0/0,0/0/0/0
20101217,1200,,EX,25.0N,179.0W,25,1004,0/0/0/0,0/0/0/0,0/0/0/0
20101217,1800,,EX,24.6N,178.7W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20101218,0000,,SD,24.2N,178.5W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20101218,0600,,SD,23.8N,178.6W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20101218,1200,,SS,23.6N,178.7W,35,1002,45/45/45/45,0/0/0/0,0/0/0/0
20101218,1800,,SS,23.0N,179.8W,35,1002,45/45/45/45,0/0/0/0,0/0/0/0
20101219,0000,,SS,22.2N,179.4E,40,1001,90/90/90/90,0/0/0/0,0/0/0/0
20101219,0600,,SS,21.6N,179.1E,45,1000,90/90/90/90,0/0/0/0,0/0/0/0
20101219,1200,,SS,21.1N,179.0E,50,999,150/150/150/150,90/90/90/90,0/0/0/0
20101219,1800,,SS,20.4N,179.1E,50,999,150/150/150/150,90/90/90/90,0/0/0/0
20101220,0000,,SS,20.1N,179.9E,45,998,60/60/60/60,0/0/0/0,0/0/0/0
20101220,0600,,TS,20.4N,178.9W,45,997,45/45/45/45,0/0/0/0,0/0/0/0
20101220,1200,,TS,21.0N,177.3W,45,997,45/45/45/45,0/0/0/0,0/0/0/0
20101220,1800,,TS,22.4N,176.1W,35,999,45/45/45/45,0/0/0/0,0/0/0/0
20101221,0000,,TS,23.8N,174.6W,35,1000,50/50/50/20,0/0/0/0,0/0/0/0
20101221,0600,,TS,25.4N,173.7W,35,1001,50/50/40/0,0/0/0/0,0/0/0/0
20101221,1200,,PT,27.0N,173.0W,35,1002,50/50/40/0,0/0/0/0,0/0/0/0
20101221,1800,,PT,29.0N,172.6W,35,1002,50/50/40/0,0/0/0/0,0/0/0/0
20101222,0000,,PT,30.7N,172.2W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20101222,0600,,PT,32.2N,172.4W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20101222,1200,,PT,33.3N,172.3W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20101222,1800,,PT,34.1N,172.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
