date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20100615,0600,,LO,14.6N,105.3W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20100615,1200,,LO,14.7N,105.2W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20100615,1800,,LO,14.9N,105.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20100616,0000,,LO,15.0N,105.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20100616,0600,,LO,14.8N,105.7W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20100616,1200,,LO,14.6N,105.6W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20100616,1800,,LO,14.7N,105.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20100617,0000,,LO,14.8N,105.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20100617,0600,,TD,14.9N,105.5W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20100617,1200,,TS,15.0N,105.7W,35,1003,45/45/45/45,0/0/0/0,0/0/0/0
20100617,1800,,TS,15.2N,106.0W,40,1001,45/45/45/45,0/0/0/0,0/0/0/0
20100618,0000,,TS,15.4N,106.4W,40,1000,60/60/60/60,0/0/0/0,0/0/0/0
20100618,0600,,TS,15.6N,106.8W,40,1000,60/60/60/60,0/0/0/0,0/0/0/0
20100618,1200,,TS,15.8N,107.3W,40,1000,60/60/60/60,0/0/0/0,0/0/0/0
20100618,1800,,TS,16.1N,107.8W,40,1000,60/60/60/60,0/0/0/0,0/0/0/0
20100619,0000,,TS,16.3N,108.4W,45,999,60/60/60/60,0/0/0/0,0/0/0/0
20100619,0600,,TS,16.4N,109.0W,50,996,60/60/60/60,15/0/0/0,0/0/0/0
20100619,1200,,TS,16.5N,109.6W,55,994,60/60/60/60,15/15/15/15,0/0/0/0
20100619,1800,,TS,16.7N,110.3W,55,994,60/60/60/60,15/15/15/15,0/0/0/0
20100620,0000,,TS,17.0N,111.1W,50,996,60/60/60/60,15/15/0/15,0/0/0/0
20100620,0600,,TS,17.3N,112.0W,45,999,50/50/40/50,0/0/0/0,0/0/0/0
20100620,1200,,TS,17.6N,113.0W,40,1002,50/50/40/50,0/0/0/0,0/0/0/0
20100620,1800,,TS,17.7N,114.2W,35,1005,45/45/0/0,0/0/0/0,0/0/0/0
20100621,0000,,TD,17.8N,115.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20100621,0600,,TD,17.8N,116.7W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20100621,1200,,TD,17.6N,117.9W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20100621,1800,,LO,17.3N,119.2W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20100622,0000,,LO,17.0N,120.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20100622,0600,,LO,16.7N,121.8W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20100622,1200,,LO,16.5N,123.2W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20100622,1800,,LO,16.3N,124.6W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20100623,0000,,LO,16.2N,125.9W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
