date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20110718,0000,,LO,10.2N,89.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20110718,0600,,TD,10.3N,90.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20110718,1200,,TS,10.4N,91.1W,35,1005,40/40/0/0,0/0/0/0,0/0/0/0
20110718,1800,,TS,10.6N,92.3W,45,1002,60/60/0/0,0/0/0/0,0/0/0/0
20110719,0000,,TS,10.9N,93.7W,50,999,80/70/40/60,30/30/0/30,0/0/0/0
20110719,0600,,TS,11.3N,95.1W,55,996,100/100/60/100,40/40/20/40,0/0/0/0
20110719,1200,,TS,11.8N,96.5W,60,993,100/100/60/100,40/40/20/40,0/0/0/0
20110719,1800,,HU,12.4N,97.9W,65,989,100/100/60/100,50/40/25/40,20/20/0/10
20110720,0000,,HU,13.1N,99.4W,70,987,100/100/60/100,60/50/30/50,30/20/0/20
20110720,0600,,HU,13.8N,100.9W,80,981,110/110/60/100,60/50/30/50,30/20/0/30
20110720,1200,,HU,14.5N,102.3W,90,970,120/110/60/100,60/50/30/50,30/20/0/30
20110720,1800,,HU,15.1N,103.6W,105,957,120/110/70/100,60/50/30/50,35/25/20/30
20110721,0000,,HU,15.7N,104.7W,115,948,120/120/90/100,70/60/45/60,35/30/20/30
20110721,0600,,HU,16.3N,105.7W,125,939,120/120/90/100,70/60/45/60,35/30/20/30
20110721,1200,,HU,16.9N,106.5W,135,929,120/120/90/100,75/60/45/60,40/35/25/35
20110721,1800,,HU,17.4N,107.1W,130,932,120/120/90/100,75/60/50/60,40/40/30/40
20110722,0000,,HU,18.0N,107.8W,115,948,120/100/90/100,75/60/50/60,40/40/30/40
20110722,0600,,HU,18.6N,108.5W,95,967,90/80/60/80,60/50/40/50,30/30/20/30
20110722,1200,,HU,19.1N,109.1W,75,981,90/80/60/80,50/50/30/50,30/30/20/30
20110722,1800,,TS,19.6N,109.7W,60,987,90/80/60/80,50/50/30/50,0/0/0/0
20110723,0000,,TS,20.1N,110.3W,55,990,90/80/60/80,40/30/0/40,0/0/0/0
20110723,0600,,TS,20.5N,111.0W,50,994,80/80/50/80,30/30/0/30,0/0/0/0
20110723,1200,,TS,20.9N,111.7W,45,998,80/80/50/80,0/0/0/0,0/0/0/0
20110723,1800,,TS,21.4N,112.4W,45,1000,70/60/50/60,0/0/0/0,0/0/0/0
20110724,0000,,TS,21.9N,113.0W,40,1002,60/40/30/40,0/0/0/0,0/0/0/0
20110724,0600,,TS,22.4N,113.5W,35,1004,50/30/30/30,0/0/0/0,0/0/0/0
20110724,1200,,TD,22.9N,113.9W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20110724,1800,,TD,23.6N,114.3W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20110725,0000,,LO,24.3N,114.6W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20110725,0600,,LO,24.9N,114.7W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20110725,1200,,LO,25.5N,114.8W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20110725,1800,,LO,26.0N,114.8W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20110726,0000,,LO,26.3N,114.8W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
