date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20110730,1200,,LO,10.3N,96.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20110730,1800,,LO,10.4N,97.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20110731,0000,,LO,10.4N,98.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20110731,0600,,TD,10.5N,99.4W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20110731,1200,,TS,10.6N,100.2W,35,1004,30/30/0/30,0/0/0/0,0/0/0/0
20110731,1800,,TS,10.8N,101.0W,40,1002,40/50/0/40,0/0/0/0,0/0/0/0
20110801,0000,,TS,11.2N,101.8W,45,1000,40/50/0/40,0/0/0/0,0/0/0/0
20110801,0600,,TS,11.7N,102.7W,50,998,45/60/30/40,20/30/0/0,0/0/0/0
20110801,1200,,TS,12.2N,103.8W,55,996,45/60/30/40,20/30/0/0,0/0/0/0
20110801,1800,,HU,12.6N,105.0W,65,990,60/75/40/60,30/30/0/30,10/0/0/10
20110802,0000,,HU,13.0N,106.3W,70,988,60/75/90/90,30/30/0/30,10/0/0/10
20110802,0600,,HU,13.4N,107.6W,75,985,90/90/120/120,30/30/20/30,15/15/10/15
20110802,1200,,HU,13.7N,108.9W,80,977,90/90/120/120,35/30/25/35,20/20/10/20
20110802,1800,,HU,14.0N,110.1W,90,970,105/105/120/120,45/35/30/45,25/25/20/25
20110803,0000,,HU,14.5N,111.2W,95,965,120/120/140/120,60/60/40/60,30/30/20/30
20110803,0600,,HU,15.0N,112.4W,100,961,120/120/140/120,60/60/40/60,30/30/20/30
20110803,1200,,HU,15.4N,113.5W,105,954,135/120/120/135,70/60/50/70,35/35/25/35
20110803,1800,,HU,15.7N,114.7W,115,947,135/120/120/135,70/60/50/70,40/35/30/40
20110803,2100,I,HU,15.9N,115.3W,120,942,135/120/120/135,70/60/50/70,40/35/30/40
20110804,0000,,HU,16.1N,115.9W,115,946,135/120/120/135,70/60/50/70,40/35/30/40
20110804,0600,,HU,16.5N,117.1W,105,957,130/140/120/130,70/60/50/70,40/35/30/40
20110804,1200,,HU,16.8N,118.3W,100,962,120/140/120/120,70/60/50/70,40/35/30/40
20110804,1800,,HU,17.0N,119.5W,90,970,105/120/105/105,70/60/50/70,40/35/30/40
20110805,0000,,HU,17.2N,120.6W,80,977,105/105/90/105,60/50/40/60,30/25/20/30
20110805,0600,,HU,17.5N,121.8W,70,984,90/75/75/90,50/50/40/50,20/25/10/20
20110805,1200,,TS,17.8N,123.0W,60,990,90/75/60/75,40/30/30/40,0/0/0/0
20110805,1800,,TS,18.1N,124.2W,50,997,75/60/45/75,30/0/0/30,0/0/0/0
20110806,0000,,TS,18.4N,125.4W,45,1000,75/60/45/75,0/0/0/0,0/0/0/0
20110806,0600,,TS,18.7N,126.5W,45,1002,60/50/30/60,0/0/0/0,0/0/0/0
20110806,1200,,LO,19.0N,127.7W,40,1005,60/40/30/60,0/0/0/0,0/0/0/0
20110806,1800,,LO,19.3N,128.8W,40,1005,60/0/0/0,0/0/0/0,0/0/0/0
20110807,0000,,LO,19.6N,129.8W,40,1005,60/0/0/0,0/0/0/0,0/0/0/0
20110807,0600,,LO,19.8N,130.8W,35,1006,60/0/0/0,0/0/0/0,0/0/0/0
20110807,1200,,LO,20.0N,131.8W,35,1008,60/0/0/0,0/0/0/0,0/0/0/0
20110807,1800,,LO,20.1N,132.7W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20110808,0000,,LO,20.2N,133.5W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20110808,0600,,LO,20.3N,134.3W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20110808,1200,,LO,20.3N,135.1W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20110808,1800,,LO,20.2N,135.9W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20110809,0000,,LO,20.0N,136.7W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20110809,0600,,LO,19.6N,137.6W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20110809,1200,,LO,19.0N,138.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20110809,1800,,LO,18.3N,139.4W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20110810,0000,,LO,17.5N,140.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
