date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20110816,1800,,TD,13.9N,99.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20110817,0000,,TD,14.7N,100.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20110817,0600,,TS,15.5N,101.5W,35,1004,40/0/0/30,0/0/0/0,0/0/0/0
20110817,1200,,TS,16.3N,103.4W,45,1000,50/0/0/40,0/0/0/0,0/0/0/0
20110817,1800,,TS,16.9N,105.6W,55,994,60/45/30/45,20/20/0/0,0/0/0/0
20110818,0000,,HU,17.3N,107.5W,65,987,70/60/45/70,35/30/20/35,15/15/0/0
20110818,0600,,HU,17.8N,109.2W,70,980,70/60/45/70,40/30/20/35,20/20/0/0
20110818,1200,,HU,18.3N,110.8W,75,979,75/65/50/75,40/30/25/35,20/20/15/15
20110818,1800,,HU,18.6N,112.0W,75,980,75/65/50/75,40/30/25/35,20/20/15/15
20110819,0000,,HU,18.8N,113.3W,70,983,75/65/50/75,40/30/25/35,20/20/15/15
20110819,0600,,HU,19.0N,114.5W,65,987,75/65/50/75,40/30/25/35,20/20/15/15
20110819,1200,,TS,19.3N,115.5W,60,990,75/65/50/75,40/30/25/35,0/0/0/0
20110819,1800,,TS,19.5N,116.5W,50,994,70/60/45/70,20/0/0/0,0/0/0/0
20110820,0000,,TS,19.6N,117.6W,45,997,70/60/45/70,0/0/0/0,0/0/0/0
20110820,0600,,TS,19.7N,118.6W,40,1000,60/50/40/60,0/0/0/0,0/0/0/0
20110820,1200,,TS,19.8N,119.5W,35,1004,55/45/35/55,0/0/0/0,0/0/0/0
20110820,1800,,TD,19.9N,120.1W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20110821,0000,,TD,20.0N,120.7W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20110821,0600,,TD,20.1N,121.5W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20110821,1200,,LO,20.2N,122.4W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20110821,1800,,LO,20.0N,123.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20110822,0000,,LO,19.8N,124.3W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20110822,0600,,LO,19.6N,125.0W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20110822,1200,,LO,19.6N,125.6W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20110822,1800,,LO,19.6N,126.2W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20110823,0000,,LO,19.6N,126.8W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
