date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20111004,1800,,LO,11.6N,111.7W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20111005,0000,,LO,11.5N,112.6W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20111005,0600,,LO,11.4N,113.2W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20111005,1200,,LO,11.4N,113.9W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20111005,1800,,LO,11.6N,114.6W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20111006,0000,,LO,11.9N,115.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20111006,0600,,TD,12.1N,116.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20111006,1200,,TS,12.3N,116.7W,35,1004,45/60/75/45,0/0/0/0,0/0/0/0
20111006,1800,,TS,12.5N,117.6W,50,999,45/60/75/45,20/20/0/20,0/0/0/0
20111007,0000,,TS,12.9N,118.5W,60,995,45/60/60/45,20/20/0/20,0/0/0/0
20111007,0600,,HU,13.3N,119.3W,70,989,45/60/45/45,20/20/10/20,10/10/0/10
20111007,1200,,HU,13.6N,120.0W,80,981,45/75/45/45,30/30/20/30,15/15/0/15
20111007,1800,,HU,13.8N,120.5W,85,977,45/90/45/45,30/30/20/30,15/15/0/15
20111008,0000,,HU,13.9N,120.8W,85,976,45/90/45/45,30/30/20/30,15/15/0/15
20111008,0600,,HU,14.1N,121.0W,80,980,45/90/45/45,30/30/20/30,15/15/0/15
20111008,1200,,HU,14.3N,121.0W,70,985,45/90/45/45,30/30/20/30,15/15/0/15
20111008,1800,,TS,14.4N,120.9W,60,991,60/90/45/60,40/40/30/30,0/0/0/0
20111009,0000,,TS,14.6N,120.7W,45,1001,60/90/45/60,0/0/0/0,0/0/0/0
20111009,0600,,TS,14.9N,120.4W,35,1004,60/90/45/75,0/0/0/0,0/0/0/0
20111009,1200,,TS,15.1N,120.0W,35,1004,45/90/45/60,0/0/0/0,0/0/0/0
20111009,1800,,TS,15.2N,119.6W,40,1003,45/90/45/60,0/0/0/0,0/0/0/0
20111010,0000,,TS,15.2N,119.1W,40,1003,30/90/45/60,0/0/0/0,0/0/0/0
20111010,0600,,TS,15.2N,118.5W,40,1003,0/90/45/60,0/0/0/0,0/0/0/0
20111010,1200,,TS,15.2N,117.9W,40,1003,0/75/45/45,0/0/0/0,0/0/0/0
20111010,1800,,TS,15.1N,117.2W,40,1003,0/75/45/45,0/0/0/0,0/0/0/0
20111011,0000,,TS,15.1N,116.5W,35,1004,0/75/45/45,0/0/0/0,0/0/0/0
20111011,0600,,TS,15.1N,115.9W,35,1004,0/60/45/45,0/0/0/0,0/0/0/0
20111011,1200,,TS,15.0N,115.3W,40,1003,0/60/30/30,0/0/0/0,0/0/0/0
20111011,1800,,TS,14.8N,114.5W,45,1001,0/60/30/30,0/0/0/0,0/0/0/0
20111012,0000,,TS,14.8N,113.6W,45,1001,0/45/30/30,0/0/0/0,0/0/0/0
20111012,0600,,TS,15.0N,112.5W,40,1002,0/45/30/30,0/0/0/0,0/0/0/0
20111012,1200,,TS,15.6N,111.2W,40,1002,0/45/30/30,0/0/0/0,0/0/0/0
20111012,1800,,TS,16.5N,110.0W,35,1003,0/30/0/0,0/0/0/0,0/0/0/0
20111013,0000,,TD,17.4N,108.9W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20111013,0600,,TD,18.1N,108.1W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20111013,1200,,TD,18.6N,107.5W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20111013,1800,,TS,19.0N,106.8W,35,1003,0/30/30/0,0/0/0/0,0/0/0/0
20111014,0000,,TS,19.2N,106.7W,35,1002,0/30/30/0,0/0/0/0,0/0/0/0
20111014,0600,,TS,19.2N,106.8W,35,1002,45/45/30/0,0/0/0/0,0/0/0/0
20111014,1200,,TS,18.9N,106.9W,40,1002,45/45/45/30,0/0/0/0,0/0/0/0
20111014,1800,,TS,18.5N,106.8W,40,1003,45/45/60/45,0/0/0/0,0/0/0/0
