date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20120613,1800,,LO,8.7N,91.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20120614,0000,,TD,9.2N,92.3W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20120614,0600,,TS,9.8N,92.9W,35,1003,40/0/0/40,0/0/0/0,0/0/0/0
20120614,1200,,TS,10.5N,93.4W,40,1001,40/0/0/40,0/0/0/0,0/0/0/0
20120614,1800,,TS,11.3N,94.0W,45,999,50/0/0/50,0/0/0/0,0/0/0/0
20120615,0000,,TS,12.0N,94.5W,55,994,50/30/50/50,30/0/0/30,0/0/0/0
20120615,0600,,TS,12.7N,95.0W,60,993,50/40/50/50,30/0/0/30,0/0/0/0
20120615,1200,,HU,13.5N,95.6W,65,988,60/40/50/60,40/20/20/30,20/0/0/0
20120615,1800,,HU,14.4N,96.1W,85,978,90/80/70/80,60/50/50/60,25/25/25/25
20120615,2100,I,HU,14.9N,96.3W,95,973,90/80/70/80,60/50/50/60,25/25/25/25
20120616,0000,,HU,15.6N,96.7W,90,976,40/80/70/80,30/50/50/60,15/35/25/25
20120616,0100,L,HU,15.8N,96.9W,90,976,40/80/70/80,30/50/50/60,15/35/25/25
20120616,0600,,HU,16.5N,97.9W,70,982,40/80/70/40,30/50/50/20,15/30/25/10
20120616,0900,S,TS,16.9N,98.5W,45,992,40/80/70/40,0/0/0/0,0/0/0/0
20120616,1200,,TD,17.3N,99.0W,30,1000,0/0/0/0,0/0/0/0,0/0/0/0
20120616,1800,,TD,17.7N,99.6W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20120617,0000,,LO,18.0N,100.1W,20,1006,0/0/0/0,0/0/0/0,0/0/0/0
20120617,0600,,LO,18.0N,100.3W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
