date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20121006,1200,,TD,13.5N,118.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20121006,1800,,TS,13.7N,119.3W,35,1004,40/30/0/0,0/0/0/0,0/0/0/0
20121007,0000,,TS,13.9N,120.1W,45,1000,50/40/20/40,0/0/0/0,0/0/0/0
20121007,0600,,TS,14.2N,120.7W,50,998,80/60/50/70,20/0/0/0,0/0/0/0
20121007,1200,,TS,14.6N,120.8W,50,997,80/60/50/70,20/0/0/0,0/0/0/0
20121007,1800,,TS,15.3N,120.8W,50,997,80/60/50/70,20/0/0/0,0/0/0/0
20121008,0000,,TS,15.9N,120.8W,50,998,80/40/40/70,20/0/0/0,0/0/0/0
20121008,0600,,TS,16.2N,120.9W,50,999,70/20/20/70,30/0/0/30,0/0/0/0
20121008,1200,,TS,16.5N,121.2W,45,1002,70/20/20/70,0/0/0/0,0/0/0/0
20121008,1800,,TS,16.3N,121.2W,40,1005,60/0/0/60,0/0/0/0,0/0/0/0
20121009,0000,,LO,15.9N,121.3W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20121009,0600,,LO,15.4N,121.7W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20121009,1200,,LO,15.0N,122.2W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20121009,1800,,LO,14.7N,122.7W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20121010,0000,,LO,14.3N,123.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20121010,0600,,LO,14.0N,124.3W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20121010,1200,,LO,13.7N,125.1W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
