date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20130809,0600,,DB,11.0N,116.2W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130809,1200,,DB,11.2N,116.2W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20130809,1800,,DB,11.4N,116.8W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20130810,0000,,DB,11.6N,117.4W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20130810,0600,,DB,12.0N,118.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130810,1200,,DB,12.4N,118.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130810,1800,,DB,12.8N,118.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130811,0000,,DB,13.0N,119.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130811,0600,,DB,13.2N,120.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130811,1200,,DB,13.2N,121.3W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130811,1800,,DB,13.2N,122.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130812,0000,,DB,13.3N,123.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130812,0600,,DB,13.4N,124.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130812,1200,,DB,13.4N,125.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130812,1800,,LO,13.3N,126.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130813,0000,,LO,13.3N,128.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130813,0600,,LO,13.2N,130.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130813,1200,,LO,13.2N,133.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130813,1800,,LO,13.1N,135.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130814,0000,,LO,13.1N,136.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130814,0600,,LO,13.1N,138.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130814,1200,,LO,13.9N,140.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130814,1800,,LO,14.2N,142.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130815,0000,,DB,14.0N,143.7W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20130815,0600,,DB,13.9N,145.2W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130815,1200,,DB,13.8N,147.3W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130815,1800,,DB,13.8N,148.9W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130816,0000,,DB,14.0N,150.9W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130816,0600,,DB,14.2N,152.6W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130816,1200,,DB,14.4N,154.7W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130816,1800,,DB,14.6N,156.8W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130817,0000,,DB,14.7N,158.3W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130817,0600,,DB,14.9N,159.8W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130817,1200,,DB,15.0N,161.0W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130817,1800,,DB,15.2N,162.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130818,0000,,DB,15.3N,164.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130818,0600,,DB,15.5N,166.9W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130818,1200,,DB,15.7N,169.2W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130818,1800,,DB,16.2N,170.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130819,0000,,DB,16.5N,171.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130819,0600,,DB,17.0N,172.4W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130819,1200,,DB,17.6N,173.4W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130819,1800,,TD,18.1N,174.6W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130820,0000,,TD,18.8N,175.7W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130820,0600,,TD,18.9N,177.3W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130820,1200,,TD,19.3N,178.8W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130820,1800,,LO,20.0N,179.7E,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130821,0000,,DB,20.4N,178.2E,15,1012,0/0/0/0,0/0/0/0,0/0/0/0
