date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20130528,1200,,TD,13.9N,96.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20130528,1800,,TS,14.1N,96.1W,35,1004,50/30/0/50,0/0/0/0,0/0/0/0
20130529,0000,,TS,14.2N,96.0W,40,1001,50/30/30/50,0/0/0/0,0/0/0/0
20130529,0600,,TS,14.6N,95.5W,50,998,60/50/40/50,30/30/0/20,0/0/0/0
20130529,1200,,TS,15.1N,94.8W,55,994,60/50/40/50,30/30/0/20,0/0/0/0
20130529,1800,,HU,15.7N,94.2W,65,986,60/60/50/50,30/30/20/20,20/20/0/0
20130529,1950,L,HU,16.0N,94.0W,70,983,60/60/50/50,30/30/20/20,20/20/0/0
20130530,0000,,TS,16.7N,93.9W,50,993,40/40/30/30,20/20/0/0,0/0/0/0
20130530,0600,,TD,17.6N,93.9W,30,1001,0/0/0/0,0/0/0/0,0/0/0/0
20130530,1200,,LO,18.2N,93.9W,25,1004,0/0/0/0,0/0/0/0,0/0/0/0
20130530,1800,,LO,18.8N,93.9W,20,1006,0/0/0/0,0/0/0/0,0/0/0/0
