date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20130628,1800,,LO,10.7N,104.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130629,0000,,LO,10.8N,104.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130629,0600,,LO,11.2N,104.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130629,1200,,LO,11.6N,103.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130629,1800,,TD,12.4N,103.2W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20130630,0000,,TD,13.3N,103.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20130630,0600,,TS,14.2N,103.0W,35,1005,30/30/0/0,0/0/0/0,0/0/0/0
20130630,1200,,TS,15.1N,103.1W,35,1004,30/30/0/30,0/0/0/0,0/0/0/0
20130630,1800,,TS,15.9N,103.5W,35,1004,30/30/0/30,0/0/0/0,0/0/0/0
20130701,0000,,TS,16.5N,104.1W,40,1003,40/30/0/30,0/0/0/0,0/0/0/0
20130701,0600,,TS,17.0N,104.8W,45,1000,40/30/0/30,0/0/0/0,0/0/0/0
20130701,1200,,TS,17.5N,105.5W,50,998,50/40/20/40,30/0/0/0,0/0/0/0
20130701,1800,,TS,17.7N,106.2W,55,996,60/50/40/50,30/0/0/0,0/0/0/0
20130702,0000,,TS,17.9N,106.5W,55,994,60/60/50/60,30/30/20/20,0/0/0/0
20130702,0600,,TS,18.1N,106.7W,55,994,60/60/50/60,30/30/20/20,0/0/0/0
20130702,1200,,HU,18.2N,106.8W,65,986,60/60/50/60,30/30/20/30,20/20/10/20
20130702,1800,,HU,18.4N,107.0W,70,984,60/60/50/60,30/30/20/30,20/20/10/20
20130703,0000,,HU,18.3N,107.2W,70,985,60/60/50/60,30/30/20/30,20/20/10/20
20130703,0600,,HU,18.1N,107.4W,65,987,60/60/50/60,30/30/20/30,20/20/10/20
20130703,1200,,HU,17.8N,107.6W,65,987,60/60/60/60,30/30/30/30,20/20/20/20
20130703,1800,,TS,17.6N,107.9W,60,991,50/50/50/50,30/30/30/30,0/0/0/0
20130704,0000,,TS,17.5N,108.4W,50,995,50/50/50/50,30/30/30/30,0/0/0/0
20130704,0600,,TS,17.5N,108.9W,50,995,50/50/50/50,20/20/20/20,0/0/0/0
20130704,1200,,TS,17.4N,109.5W,40,1000,50/40/40/50,0/0/0/0,0/0/0/0
20130704,1800,,TS,17.3N,110.1W,35,1004,40/40/20/40,0/0/0/0,0/0/0/0
20130705,0000,,TD,17.3N,110.7W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20130705,0600,,TD,17.2N,111.3W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20130705,1200,,TD,17.1N,111.8W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20130705,1800,,TD,17.1N,112.2W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20130706,0000,,TD,17.0N,112.5W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20130706,0600,,TD,17.0N,112.8W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20130706,1200,,TD,17.0N,113.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20130706,1800,,TD,17.0N,113.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20130707,0000,,TD,16.8N,113.2W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20130707,0600,,LO,16.7N,112.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20130707,1200,,LO,16.6N,112.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130707,1800,,LO,16.5N,112.3W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130708,0000,,LO,16.6N,112.1W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130708,0600,,LO,16.7N,111.9W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130708,1200,,LO,17.1N,111.5W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130708,1800,,LO,17.7N,110.8W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
