date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20130802,0000,,LO,12.7N,116.8W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20130802,0600,,LO,12.7N,117.6W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20130802,1200,,LO,12.8N,118.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20130802,1800,,LO,12.9N,119.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20130803,0000,,LO,12.9N,120.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20130803,0600,,LO,12.8N,121.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20130803,1200,,TD,12.7N,122.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20130803,1800,,TD,12.7N,123.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20130804,0000,,TS,12.8N,124.4W,35,1006,30/50/50/30,0/0/0/0,0/0/0/0
20130804,0600,,TS,12.7N,125.3W,35,1006,30/50/50/30,0/0/0/0,0/0/0/0
20130804,1200,,TS,12.5N,126.0W,40,1004,30/50/50/30,0/0/0/0,0/0/0/0
20130804,1800,,TS,12.1N,126.6W,45,1002,30/50/50/30,0/0/0/0,0/0/0/0
20130805,0000,,TS,11.9N,127.0W,45,1002,40/50/40/40,0/0/0/0,0/0/0/0
20130805,0600,,TS,11.8N,127.5W,45,1002,40/50/40/40,0/0/0/0,0/0/0/0
20130805,1200,,TS,12.0N,128.0W,50,1000,40/60/40/40,0/20/0/0,0/0/0/0
20130805,1800,,TS,12.4N,128.7W,55,998,50/60/40/40,10/20/0/0,0/0/0/0
20130806,0000,,TS,12.9N,129.5W,60,995,60/60/40/50,20/30/10/10,0/0/0/0
20130806,0600,,HU,13.5N,130.4W,70,989,60/70/40/50,30/30/20/20,15/15/15/15
20130806,1200,,HU,14.0N,131.2W,75,984,70/70/40/60,40/40/30/30,20/20/15/20
20130806,1800,,HU,14.4N,132.0W,80,981,70/70/50/70,40/40/30/40,20/20/20/20
20130807,0000,,HU,14.8N,132.8W,80,981,70/70/50/70,40/40/30/40,20/20/20/20
20130807,0600,,HU,15.3N,133.6W,80,981,70/70/50/70,40/40/30/40,20/20/20/20
20130807,1200,,HU,15.8N,134.4W,80,981,70/70/50/70,40/40/30/40,20/20/20/20
20130807,1800,,HU,16.4N,135.3W,80,981,70/60/50/70,40/40/30/40,20/20/20/20
20130808,0000,,HU,16.8N,136.2W,80,981,70/60/50/60,30/30/30/30,15/15/15/15
20130808,0600,,HU,17.1N,137.0W,80,981,70/50/40/60,30/30/20/30,15/15/15/15
20130808,1200,,HU,17.2N,137.9W,85,979,60/40/40/50,20/20/20/20,10/10/10/10
20130808,1800,,HU,17.2N,138.9W,90,976,50/40/40/50,20/20/20/20,10/10/10/10
20130809,0000,,HU,17.0N,139.9W,85,980,50/30/30/40,20/20/20/20,10/10/10/10
20130809,0600,,HU,16.6N,140.8W,65,992,40/20/30/40,20/15/20/20,10/10/10/10
20130809,1200,,TS,16.1N,141.8W,60,995,40/20/30/40,20/15/20/20,0/0/0/0
20130809,1800,,TS,15.6N,143.3W,55,996,40/20/30/40,20/10/15/20,0/0/0/0
20130810,0000,,TS,15.1N,144.6W,50,998,50/20/30/50,20/10/10/20,0/0/0/0
20130810,0600,,TS,14.5N,145.9W,45,1002,50/20/20/50,0/0/0/0,0/0/0/0
20130810,1200,,TS,14.2N,147.5W,45,1002,50/20/20/50,0/0/0/0,0/0/0/0
20130810,1800,,TS,14.0N,149.3W,45,1002,50/20/20/50,0/0/0/0,0/0/0/0
20130811,0000,,TS,13.9N,151.0W,35,1006,40/10/10/40,0/0/0/0,0/0/0/0
20130811,0600,,TS,13.7N,153.0W,35,1008,40/10/10/40,0/0/0/0,0/0/0/0
20130811,1200,,TD,13.6N,155.0W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20130811,1800,,LO,13.5N,157.2W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20130812,0000,,LO,13.4N,159.3W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
