date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20130913,1200,,TD,15.3N,101.4W,30,999,0/0/0/0,0/0/0/0,0/0/0/0
20130913,1800,,TS,15.3N,101.9W,35,998,20/20/0/0,0/0/0/0,0/0/0/0
20130914,0000,,TS,15.4N,102.2W,40,997,50/50/50/0,0/0/0/0,0/0/0/0
20130914,0600,,TS,15.5N,102.3W,45,995,50/50/50/0,0/0/0/0,0/0/0/0
20130914,1200,,TS,15.9N,102.1W,45,993,60/60/50/60,0/0/0/0,0/0/0/0
20130914,1800,,TS,16.4N,102.1W,50,990,70/70/50/60,20/20/0/0,0/0/0/0
20130915,0000,,TS,17.0N,102.2W,55,987,80/90/60/70,20/30/0/0,0/0/0/0
20130915,0600,,TS,17.6N,102.6W,60,984,80/90/60/60,30/20/10/20,0/0/0/0
20130915,1200,L,TS,18.2N,103.2W,60,985,80/90/60/60,30/20/10/20,0/0/0/0
20130915,1800,,TS,18.9N,104.0W,45,996,0/90/40/0,0/0/0/0,0/0/0/0
20130916,0000,,TD,19.6N,104.7W,30,1000,0/0/0/0,0/0/0/0,0/0/0/0
20130916,0600,,DB,20.2N,105.2W,25,1002,0/0/0/0,0/0/0/0,0/0/0/0
20130916,1200,,DB,20.6N,105.5W,25,1003,0/0/0/0,0/0/0/0,0/0/0/0
20130916,1800,,DB,21.0N,105.8W,20,1004,0/0/0/0,0/0/0/0,0/0/0/0
20130917,0000,,DB,21.4N,106.1W,20,1004,0/0/0/0,0/0/0/0,0/0/0/0
20130917,0600,,DB,21.8N,106.4W,20,1003,0/0/0/0,0/0/0/0,0/0/0/0
20130917,1200,,DB,22.2N,106.8W,25,1002,0/0/0/0,0/0/0/0,0/0/0/0
20130917,1800,,TD,22.5N,107.2W,30,1001,0/0/0/0,0/0/0/0,0/0/0/0
20130918,0000,,TD,22.7N,107.5W,30,1000,0/0/0/0,0/0/0/0,0/0/0/0
20130918,0600,,TS,22.9N,107.7W,35,998,30/30/0/0,0/0/0/0,0/0/0/0
20130918,1200,,TS,23.2N,107.9W,45,995,40/40/0/20,0/0/0/0,0/0/0/0
20130918,1800,,TS,23.6N,108.1W,55,989,40/40/20/30,20/20/0/0,0/0/0/0
20130919,0000,,HU,24.1N,108.2W,65,984,50/40/20/30,30/20/0/0,20/10/0/0
20130919,0600,,HU,24.5N,108.2W,65,983,50/40/40/40,20/20/0/20,15/10/0/0
20130919,1200,L,HU,24.8N,108.0W,65,984,50/40/40/40,20/20/0/20,15/10/0/0
20130919,1800,,TS,25.3N,107.6W,40,999,30/30/20/20,0/0/0/0,0/0/0/0
