date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20131019,1800,,LO,13.2N,99.8W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20131020,0000,,TD,13.7N,100.5W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20131020,0600,,TS,14.2N,101.0W,35,1003,30/30/0/30,0/0/0/0,0/0/0/0
20131020,1200,,TS,14.7N,101.4W,45,1000,40/40/0/40,0/0/0/0,0/0/0/0
20131020,1800,,TS,15.2N,101.7W,60,993,40/40/20/40,20/20/0/0,0/0/0/0
20131021,0000,,HU,15.7N,102.0W,80,978,50/50/20/50,30/30/10/20,10/10/0/10
20131021,0600,,HU,16.0N,102.2W,95,965,60/50/30/50,30/30/20/30,20/20/10/20
20131021,1200,,HU,16.2N,102.2W,105,956,60/50/30/60,30/30/20/30,20/20/10/20
20131021,1800,,HU,16.4N,102.1W,110,951,70/50/40/60,40/30/20/30,20/20/10/20
20131022,0000,,HU,16.4N,101.9W,105,955,70/50/40/60,40/30/20/30,20/20/10/20
20131022,0600,,HU,16.4N,101.9W,95,962,70/50/40/60,40/30/20/30,20/20/10/20
20131022,1200,,HU,16.4N,101.9W,85,969,70/50/40/60,40/30/20/30,20/20/10/20
20131022,1800,,HU,16.3N,101.8W,75,987,70/50/40/60,30/30/20/30,20/10/10/10
20131023,0000,,HU,16.0N,101.8W,65,988,70/50/40/60,30/20/20/20,20/10/10/10
20131023,0600,,TS,15.7N,102.1W,60,990,70/50/40/60,30/20/20/20,0/0/0/0
20131023,1200,,TS,15.4N,102.8W,55,995,60/50/30/50,30/20/0/20,0/0/0/0
20131023,1800,,TS,15.1N,103.5W,45,1000,60/50/30/50,0/0/0/0,0/0/0/0
20131024,0000,,TS,14.9N,104.2W,40,1002,60/40/20/50,0/0/0/0,0/0/0/0
20131024,0600,,TS,14.8N,104.9W,40,1002,60/40/20/40,0/0/0/0,0/0/0/0
20131024,1200,,TS,14.8N,105.6W,40,1002,60/40/20/40,0/0/0/0,0/0/0/0
20131024,1800,,TS,14.8N,106.4W,40,1002,60/40/0/40,0/0/0/0,0/0/0/0
20131025,0000,,TS,14.6N,107.2W,45,1000,60/50/0/40,0/0/0/0,0/0/0/0
20131025,0600,,TS,14.3N,107.9W,45,1000,60/50/0/30,0/0/0/0,0/0/0/0
20131025,1200,,TS,13.9N,108.5W,50,999,60/50/0/30,30/30/0/0,0/0/0/0
20131025,1800,,TS,13.4N,109.3W,50,999,70/50/0/30,30/30/0/0,0/0/0/0
20131026,0000,,TS,13.1N,110.3W,55,998,70/50/0/30,30/30/0/0,0/0/0/0
20131026,0600,,TS,13.0N,111.3W,55,998,80/60/0/40,30/30/0/0,0/0/0/0
20131026,1200,,TS,13.0N,112.2W,55,998,80/60/0/40,30/30/0/0,0/0/0/0
20131026,1800,,TS,13.0N,113.0W,55,998,80/60/0/40,40/30/0/20,0/0/0/0
20131027,0000,,TS,13.2N,113.9W,55,998,90/70/20/40,40/30/0/20,0/0/0/0
20131027,0600,,TS,13.5N,114.8W,60,995,90/70/20/50,40/30/0/20,0/0/0/0
20131027,1200,,HU,13.8N,115.6W,75,983,90/70/30/50,40/30/20/30,20/0/0/20
20131027,1800,,HU,14.2N,116.3W,80,979,80/70/40/50,40/30/20/40,20/10/10/20
20131028,0000,,HU,14.8N,116.8W,90,972,80/70/40/60,40/30/20/40,20/10/10/20
20131028,0600,,HU,15.4N,117.0W,90,971,70/70/50/60,30/30/20/30,20/10/10/20
20131028,1200,,HU,16.0N,117.0W,80,977,70/70/50/60,30/30/20/30,20/10/10/20
20131028,1800,,HU,16.4N,117.0W,65,990,60/60/60/60,30/30/20/30,20/0/0/0
20131029,0000,,TS,16.8N,117.0W,50,998,60/60/60/60,30/30/20/30,0/0/0/0
20131029,0600,,TS,17.4N,117.0W,45,1002,60/60/50/60,0/0/0/0,0/0/0/0
20131029,1200,,TS,18.0N,116.9W,40,1003,70/50/40/50,0/0/0/0,0/0/0/0
20131029,1800,,TS,18.6N,116.5W,40,1004,100/50/0/50,0/0/0/0,0/0/0/0
20131030,0000,,TS,19.0N,115.9W,40,1005,120/50/0/40,0/0/0/0,0/0/0/0
20131030,0600,,TD,19.4N,115.3W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20131030,1200,,LO,19.9N,114.7W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20131030,1800,,LO,20.4N,114.4W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20131031,0000,,LO,20.7N,114.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20131031,0600,,LO,20.9N,114.6W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20131031,1200,,LO,21.0N,114.8W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20131031,1800,,LO,21.0N,115.0W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20131101,0000,,LO,21.0N,115.2W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
