date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20141013,0600,,LO,11.8N,140.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20141013,1200,,LO,12.2N,141.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20141013,1800,,TD,12.3N,142.2W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20141014,0000,,TS,12.7N,142.3W,35,1005,10/10/20/20,0/0/0/0,0/0/0/0
20141014,0600,,TS,13.0N,142.7W,40,1003,20/20/20/20,0/0/0/0,0/0/0/0
20141014,1200,,TS,13.5N,143.3W,45,1000,30/30/20/30,0/0/0/0,0/0/0/0
20141014,1800,,TS,13.8N,143.9W,55,996,50/40/40/50,20/10/10/20,0/0/0/0
20141015,0000,,TS,14.0N,144.6W,55,996,50/40/20/40,20/20/0/20,0/0/0/0
20141015,0600,,TS,14.1N,145.3W,60,994,60/45/35/55,25/20/20/25,0/0/0/0
20141015,1200,,TS,14.2N,146.1W,60,994,55/50/40/55,25/25/20/25,0/0/0/0
20141015,1800,,TS,14.3N,147.0W,60,994,55/50/40/55,25/25/20/25,0/0/0/0
20141016,0000,,TS,14.1N,148.0W,55,998,55/50/40/55,25/25/20/25,0/0/0/0
20141016,0600,,TS,14.0N,148.9W,50,1000,50/50/40/50,20/20/10/20,0/0/0/0
20141016,1200,,TS,14.0N,149.7W,50,1000,50/50/40/50,20/20/10/20,0/0/0/0
20141016,1800,,TS,14.1N,150.5W,50,1000,50/50/40/50,20/20/10/20,0/0/0/0
20141017,0000,,TS,14.4N,151.4W,50,1000,50/50/40/50,20/20/10/20,0/0/0/0
20141017,0600,,TS,14.9N,152.5W,55,998,60/60/30/40,20/20/10/10,0/0/0/0
20141017,1200,,TS,15.4N,153.7W,60,992,70/60/30/50,25/20/10/25,0/0/0/0
20141017,1800,,HU,16.0N,154.8W,65,990,80/60/30/80,30/20/10/30,20/10/0/20
20141018,0000,,HU,16.6N,156.2W,70,989,80/60/30/90,45/30/20/45,20/0/0/20
20141018,0600,,HU,17.5N,157.0W,75,985,80/60/40/100,40/20/10/40,20/10/0/20
20141018,1200,,HU,18.2N,157.7W,70,986,90/90/40/80,30/30/10/20,20/20/0/10
20141018,1800,,HU,19.0N,158.5W,70,988,90/60/40/90,40/20/10/40,20/15/0/20
20141019,0000,,HU,19.6N,158.9W,70,989,90/60/40/60,45/20/10/30,15/10/0/20
20141019,0600,,HU,20.1N,159.2W,70,989,90/60/40/70,45/20/10/30,20/10/0/20
20141019,1200,,HU,20.6N,159.6W,70,989,90/60/40/70,40/20/20/30,20/10/0/20
20141019,1800,,HU,20.7N,160.2W,65,992,90/60/40/70,40/20/20/30,10/0/0/10
20141020,0000,,TS,20.7N,160.9W,60,994,90/60/40/70,40/20/20/30,0/0/0/0
20141020,0600,,TS,20.7N,161.8W,60,995,90/60/40/70,40/20/20/30,0/0/0/0
20141020,1200,,TS,20.7N,162.7W,60,995,90/60/30/80,40/20/20/30,0/0/0/0
20141020,1800,,TS,20.6N,163.4W,55,996,90/60/30/80,40/20/20/30,0/0/0/0
20141021,0000,,TS,20.5N,164.0W,50,997,100/60/30/90,30/10/10/20,0/0/0/0
20141021,0600,,TS,20.8N,164.4W,45,999,80/50/25/70,0/0/0/0,0/0/0/0
20141021,1200,,TS,20.8N,165.4W,40,1002,80/50/25/70,0/0/0/0,0/0/0/0
20141021,1800,,TS,20.9N,165.7W,35,1005,90/70/20/60,0/0/0/0,0/0/0/0
20141022,0000,,TS,21.6N,166.1W,35,1005,110/90/0/100,0/0/0/0,0/0/0/0
20141022,0600,,TS,22.0N,166.8W,35,1005,110/90/0/100,0/0/0/0,0/0/0/0
20141022,1200,,TS,22.6N,167.1W,35,1005,110/90/0/110,0/0/0/0,0/0/0/0
20141022,1800,,TS,23.4N,167.3W,35,1005,130/90/0/110,0/0/0/0,0/0/0/0
20141023,0000,,TS,24.4N,167.7W,35,1005,130/90/0/110,0/0/0/0,0/0/0/0
20141023,0600,,TS,25.5N,168.2W,40,1002,130/90/0/110,0/0/0/0,0/0/0/0
20141023,1200,,TS,26.3N,169.1W,45,998,120/90/10/100,0/0/0/0,0/0/0/0
20141023,1800,,TS,26.7N,169.5W,45,999,120/100/20/100,0/0/0/0,0/0/0/0
20141024,0000,,TS,27.1N,169.9W,45,1000,80/50/30/50,0/0/0/0,0/0/0/0
20141024,0600,,TS,27.6N,170.2W,45,1000,80/60/30/50,0/0/0/0,0/0/0/0
20141024,1200,,TS,28.2N,169.9W,50,999,85/75/30/55,20/20/0/0,0/0/0/0
20141024,1800,,TS,28.9N,169.6W,55,996,90/80/30/50,20/20/0/0,0/0/0/0
20141025,0000,,HU,30.2N,168.5W,65,988,90/90/60/40,40/40/30/20,20/20/20/0
20141025,0600,,HU,31.7N,166.8W,65,987,100/100/70/45,45/45/35/20,20/20/20/0
20141025,1200,,HU,33.4N,164.6W,65,987,100/120/90/45,45/50/40/20,20/25/20/0
20141025,1800,,HU,35.0N,162.5W,65,987,100/120/90/45,45/50/40/20,20/25/20/0
20141026,0000,,TS,37.0N,159.1W,60,986,110/130/100/45,45/50/40/0,0/0/0/0
20141026,0600,,TS,39.1N,154.9W,55,989,180/210/150/30,30/110/60/0,0/0/0/0
20141026,1200,,EX,41.2N,150.2W,50,992,180/270/150/30,30/150/0/0,0/0/0/0
