date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20140609,0000,,LO,14.8N,101.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140609,0600,,LO,15.0N,101.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140609,1200,,TD,15.2N,101.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140609,1800,,TD,15.4N,101.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140610,0000,,TD,15.6N,101.8W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140610,0600,,TS,15.5N,102.2W,35,1005,40/30/0/0,0/0/0/0,0/0/0/0
20140610,1200,,TS,15.4N,102.6W,40,1003,40/30/0/0,0/0/0/0,0/0/0/0
20140610,1800,,TS,15.3N,103.0W,45,1001,40/40/40/40,0/0/0/0,0/0/0/0
20140611,0000,,TS,15.3N,103.4W,55,996,50/50/40/50,20/0/0/0,0/0/0/0
20140611,0600,,HU,15.3N,103.9W,65,990,60/50/40/50,20/10/0/20,15/0/0/0
20140611,1200,,HU,15.4N,104.4W,70,987,60/60/40/50,30/30/20/20,15/15/0/0
20140611,1800,,HU,15.6N,104.9W,75,983,70/60/40/50,30/30/20/20,15/15/0/0
20140612,0000,,HU,15.8N,105.4W,85,975,70/50/40/60,30/30/30/20,15/15/10/15
20140612,0600,,HU,16.1N,106.1W,105,959,70/50/40/60,30/30/30/30,15/15/10/15
20140612,1200,,HU,16.4N,106.8W,130,935,70/50/40/60,30/30/30/30,15/15/10/15
20140612,1800,,HU,16.7N,107.5W,125,940,70/60/40/70,40/30/30/40,15/15/10/15
20140613,0000,,HU,17.0N,108.1W,110,955,70/60/40/70,40/30/30/40,15/15/10/15
20140613,0600,,HU,17.4N,108.8W,95,967,70/60/40/70,40/30/30/40,15/15/10/15
20140613,1200,,HU,17.8N,109.5W,85,973,80/70/50/80,50/40/30/50,20/20/15/20
20140613,1800,,HU,18.3N,110.1W,80,978,80/70/50/80,50/40/30/50,20/20/15/20
20140614,0000,,HU,18.7N,110.5W,80,979,80/70/50/80,50/40/30/50,20/20/15/20
20140614,0600,,HU,19.0N,110.8W,70,984,70/60/60/70,40/40/30/40,15/15/10/15
20140614,1200,,TS,19.3N,111.2W,60,990,50/50/60/60,20/30/30/30,0/0/0/0
20140614,1800,,TS,19.5N,111.6W,50,997,50/50/60/60,20/20/20/20,0/0/0/0
20140615,0000,,TS,19.7N,112.0W,40,1002,50/50/40/50,0/0/0/0,0/0/0/0
20140615,0600,,LO,19.9N,112.5W,35,1003,40/40/30/40,0/0/0/0,0/0/0/0
20140615,1200,,LO,20.1N,113.0W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20140615,1800,,LO,20.4N,113.5W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20140616,0000,,LO,20.7N,114.1W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20140616,0600,,LO,21.1N,114.8W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20140616,1200,,LO,21.6N,115.6W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20140616,1800,,LO,22.1N,116.4W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20140617,0000,,LO,22.5N,116.9W,20,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140617,0600,,LO,22.7N,117.2W,20,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140617,1200,,LO,22.8N,117.6W,15,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140617,1800,,LO,23.0N,117.8W,15,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140618,0000,,LO,23.1N,117.5W,15,1008,0/0/0/0,0/0/0/0,0/0/0/0
20140618,0600,,LO,23.0N,117.2W,15,1009,0/0/0/0,0/0/0/0,0/0/0/0
20140618,1200,,LO,22.8N,117.0W,15,1010,0/0/0/0,0/0/0/0,0/0/0/0
20140618,1800,,LO,22.5N,116.8W,15,1010,0/0/0/0,0/0/0/0,0/0/0/0
20140619,0000,,LO,22.2N,116.6W,15,1010,0/0/0/0,0/0/0/0,0/0/0/0
