date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20140630,0600,,TS,17.0N,103.0W,45,1004,60/60/40/40,0/0/0/0,0/0/0/0
20140630,1200,,TS,17.1N,103.4W,45,1002,60/60/40/40,0/0/0/0,0/0/0/0
20140630,1800,,TS,17.3N,104.1W,45,1003,60/60/40/40,0/0/0/0,0/0/0/0
20140701,0000,,TS,17.5N,104.4W,45,1003,60/60/40/40,0/0/0/0,0/0/0/0
20140701,0600,,TS,17.5N,104.3W,45,1003,60/60/40/40,0/0/0/0,0/0/0/0
20140701,1200,,TS,17.4N,104.2W,40,1004,60/60/40/40,0/0/0/0,0/0/0/0
20140701,1800,,TS,17.3N,104.0W,35,1005,40/40/40/40,0/0/0/0,0/0/0/0
20140702,0000,,TD,17.1N,103.6W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140702,0600,,LO,17.0N,103.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20140702,1200,,LO,16.9N,102.6W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20140702,1800,,LO,16.9N,102.4W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
