date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20140730,1200,,LO,11.3N,117.9W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20140730,1800,,LO,11.6N,119.3W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20140731,0000,,LO,11.9N,120.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20140731,0600,,LO,12.1N,121.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20140731,1200,,TD,12.4N,121.8W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140731,1800,,TS,12.8N,122.5W,40,1005,80/90/30/50,0/0/0/0,0/0/0/0
20140801,0000,,TS,13.2N,123.4W,45,1003,80/90/30/50,0/0/0/0,0/0/0/0
20140801,0600,,TS,13.6N,124.3W,50,1001,80/90/40/60,30/30/0/0,0/0/0/0
20140801,1200,,TS,13.9N,125.2W,55,998,80/90/40/60,30/30/0/30,0/0/0/0
20140801,1800,,TS,14.2N,126.0W,60,995,80/90/40/60,30/30/0/30,0/0/0/0
20140802,0000,,HU,14.6N,126.9W,65,991,70/70/40/70,30/30/0/30,15/15/0/15
20140802,0600,,HU,14.8N,127.9W,70,988,60/50/50/70,30/30/20/30,20/15/0/20
20140802,1200,,HU,14.9N,128.8W,75,983,60/50/50/70,30/30/20/30,20/15/0/20
20140802,1800,,HU,15.0N,129.6W,85,975,60/50/50/70,30/30/20/30,20/15/0/20
20140803,0000,,HU,15.1N,130.5W,95,967,60/50/50/70,40/40/20/40,25/20/10/20
20140803,0600,,HU,15.2N,131.4W,95,966,70/70/50/70,40/40/20/40,25/20/10/20
20140803,1200,,HU,15.4N,132.3W,100,965,80/80/50/70,40/40/20/40,30/25/15/30
20140803,1800,,HU,15.7N,133.2W,100,964,80/80/50/70,40/40/20/40,30/25/15/30
20140804,0000,,HU,15.9N,134.2W,100,964,80/80/50/70,50/50/30/50,30/25/20/30
20140804,0600,,HU,16.0N,135.2W,110,958,80/80/50/70,50/50/30/50,30/25/20/30
20140804,1200,,HU,16.1N,136.1W,115,952,80/80/50/70,50/50/40/50,35/30/25/30
20140804,1800,,HU,16.1N,136.9W,120,947,80/80/60/80,50/50/40/50,35/30/25/30
20140805,0000,,HU,16.0N,137.6W,115,951,80/80/60/80,50/50/40/50,35/30/25/30
20140805,0600,,HU,15.9N,138.3W,110,955,90/90/60/90,50/50/40/50,35/30/25/30
20140805,1200,,HU,15.9N,139.1W,110,957,90/90/60/90,50/50/40/50,35/30/25/30
20140805,1800,,HU,16.2N,139.9W,95,967,90/90/60/90,50/50/40/50,30/30/20/30
20140806,0000,,HU,16.5N,141.0W,95,968,100/60/60/90,50/30/30/45,30/20/20/25
20140806,0600,,HU,16.7N,142.3W,85,977,135/90/90/125,90/50/50/85,30/20/20/30
20140806,1200,,HU,16.9N,143.8W,75,985,120/75/80/115,80/40/45/75,25/15/15/20
20140806,1800,,HU,17.0N,145.2W,80,982,100/70/70/100,70/40/40/70,30/15/15/30
20140807,0000,,HU,17.4N,146.7W,85,980,120/80/35/120,60/30/20/50,40/20/0/30
20140807,0600,,HU,17.9N,148.3W,80,982,120/80/30/120,70/30/10/50,40/20/0/30
20140807,1200,,HU,18.2N,149.8W,75,985,120/50/20/120,50/20/0/50,30/10/0/30
20140807,1800,,HU,18.7N,151.5W,70,990,120/50/20/120,60/45/10/30,30/10/0/25
20140808,0000,,HU,18.9N,153.1W,70,992,160/90/20/120,90/20/15/70,30/0/0/30
20140808,0600,,TS,18.9N,154.4W,60,997,150/90/20/120,60/20/0/40,0/0/0/0
20140808,1200,,TS,19.2N,155.3W,50,1001,100/60/0/90,40/0/0/20,0/0/0/0
20140808,1230,L,TS,19.2N,155.4W,50,1001,100/60/0/90,40/0/0/20,0/0/0/0
20140808,1800,,TS,19.4N,157.3W,40,1006,90/50/0/90,0/0/0/0,0/0/0/0
20140809,0000,,TS,19.8N,158.9W,35,1010,70/50/0/70,0/0/0/0,0/0/0/0
20140809,0600,,LO,20.3N,160.1W,30,1011,0/0/0/0,0/0/0/0,0/0/0/0
20140809,1200,,LO,20.7N,161.2W,30,1011,0/0/0/0,0/0/0/0,0/0/0/0
20140809,1800,,LO,20.8N,162.1W,25,1012,0/0/0/0,0/0/0/0,0/0/0/0
20140810,0000,,LO,20.7N,163.2W,25,1012,0/0/0/0,0/0/0/0,0/0/0/0
20140810,0600,,LO,20.2N,164.5W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
20140810,1200,,LO,19.7N,165.8W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
