date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20140817,0000,,LO,16.0N,113.7W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20140817,0600,,LO,16.0N,114.3W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20140817,1200,,TD,16.0N,114.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140817,1800,,TD,16.0N,115.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140818,0000,,TD,16.1N,116.2W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20140818,0600,,TD,16.2N,116.8W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20140818,1200,,TD,16.3N,117.3W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20140818,1800,,TS,16.5N,117.8W,35,1002,0/90/0/0,0/0/0/0,0/0/0/0
20140819,0000,,TS,16.7N,118.3W,40,999,0/120/0/0,0/0/0/0,0/0/0/0
20140819,0600,,TS,17.1N,118.8W,45,998,70/120/0/0,0/0/0/0,0/0/0/0
20140819,1200,,TS,17.6N,119.4W,45,997,90/150/70/50,0/0/0/0,0/0/0/0
20140819,1800,,TS,18.0N,120.0W,45,995,120/180/150/110,0/0/0/0,0/0/0/0
20140820,0000,,TS,18.4N,120.6W,45,995,120/180/150/110,0/0/0/0,0/0/0/0
20140820,0600,,TS,18.6N,121.0W,45,994,120/180/150/110,0/0/0/0,0/0/0/0
20140820,1200,,TS,18.7N,121.2W,50,990,120/180/150/110,50/50/0/0,0/0/0/0
20140820,1800,,TS,18.9N,121.4W,55,987,120/180/150/110,50/50/0/0,0/0/0/0
20140821,0000,,TS,19.1N,121.5W,55,986,140/180/150/130,50/50/0/0,0/0/0/0
20140821,0600,,TS,19.4N,121.6W,60,984,160/160/160/160,80/80/80/80,0/0/0/0
20140821,1200,,HU,19.8N,121.8W,65,981,160/160/160/160,80/80/80/80,50/50/50/50
20140821,1800,,HU,20.2N,122.1W,65,980,160/140/140/160,80/70/60/80,50/50/30/50
20140822,0000,,TS,20.7N,122.6W,60,984,160/140/140/160,80/70/60/80,0/0/0/0
20140822,0600,,TS,21.2N,123.2W,55,987,160/140/140/160,80/70/60/80,0/0/0/0
20140822,1200,,TS,21.7N,123.8W,55,989,160/140/140/160,80/70/60/80,0/0/0/0
20140822,1800,,TS,22.1N,124.4W,50,993,160/140/140/160,80/70/60/80,0/0/0/0
20140823,0000,,TS,22.6N,125.0W,45,996,140/120/110/140,0/0/0/0,0/0/0/0
20140823,0600,,TS,23.1N,125.6W,40,998,120/100/90/120,0/0/0/0,0/0/0/0
20140823,1200,,TS,23.5N,126.2W,35,999,120/100/90/120,0/0/0/0,0/0/0/0
20140823,1800,,TS,23.9N,126.7W,35,1000,120/90/90/120,0/0/0/0,0/0/0/0
20140824,0000,,TD,24.4N,127.1W,30,1001,0/0/0/0,0/0/0/0,0/0/0/0
20140824,0600,,TD,24.8N,127.5W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20140824,1200,,LO,25.2N,127.9W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20140824,1800,,LO,25.5N,128.4W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20140825,0000,,LO,25.6N,129.0W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20140825,0600,,LO,25.7N,129.6W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20140825,1200,,LO,25.8N,130.3W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20140825,1800,,LO,25.9N,131.0W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20140826,0000,,LO,26.0N,131.7W,30,1002,0/0/0/0,0/0/0/0,0/0/0/0
20140826,0600,,LO,26.3N,132.6W,25,1003,0/0/0/0,0/0/0/0,0/0/0/0
20140826,1200,,LO,26.7N,133.5W,25,1004,0/0/0/0,0/0/0/0,0/0/0/0
20140826,1800,,LO,27.3N,134.5W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20140827,0000,,LO,28.0N,135.6W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140827,0600,,LO,28.6N,136.6W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140827,1200,,LO,29.2N,137.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20140827,1800,,LO,29.8N,138.7W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20140828,0000,,LO,30.3N,139.9W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20140828,0600,,LO,30.6N,141.1W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20140828,1200,,LO,30.8N,142.2W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20140828,1800,,LO,31.0N,143.3W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
