date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20140910,0600,,LO,12.5N,116.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20140910,1200,,LO,12.8N,117.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20140910,1800,,LO,13.3N,118.1W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20140911,0000,,LO,13.9N,118.6W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20140911,0600,,TD,14.7N,119.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140911,1200,,TD,15.4N,119.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140911,1800,,TD,16.0N,120.2W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140912,0000,,TD,16.4N,120.2W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140912,0600,,TD,16.7N,119.9W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140912,1200,,TD,16.9N,119.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140912,1800,,TD,16.9N,119.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140913,0000,,TD,16.7N,118.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140913,0600,,TD,16.4N,118.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140913,1200,,TD,16.0N,117.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140913,1800,,TD,15.7N,117.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140914,0000,,TD,15.3N,116.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140914,0600,,TD,15.0N,115.6W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20140914,1200,,TD,15.0N,114.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140914,1800,,TD,15.4N,113.8W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20140915,0000,,TD,16.0N,112.8W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20140915,0600,,LO,16.8N,111.6W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20140915,1200,,LO,18.0N,110.5W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20140915,1800,,LO,19.4N,109.6W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20140916,0000,,LO,20.8N,109.1W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20140916,0600,,LO,22.4N,108.8W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
