date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20140930,1200,,LO,14.7N,100.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20140930,1800,,LO,15.2N,100.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20141001,0000,,LO,15.7N,101.6W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20141001,0600,,LO,16.2N,102.4W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20141001,1200,,LO,16.7N,103.2W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20141001,1800,,TD,17.1N,104.0W,25,1004,0/0/0/0,0/0/0/0,0/0/0/0
20141002,0000,,TD,17.5N,104.8W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20141002,0600,,TS,17.9N,105.7W,35,1002,30/0/0/30,0/0/0/0,0/0/0/0
20141002,1200,,TS,18.1N,106.6W,35,1002,30/0/0/30,0/0/0/0,0/0/0/0
20141002,1800,,TS,18.2N,107.4W,40,1000,30/30/0/30,0/0/0/0,0/0/0/0
20141003,0000,,TS,18.2N,108.0W,45,999,40/30/0/40,0/0/0/0,0/0/0/0
20141003,0600,,TS,18.3N,108.6W,45,999,40/30/20/30,0/0/0/0,0/0/0/0
20141003,1200,,TS,18.4N,109.3W,50,998,40/30/20/30,20/0/0/0,0/0/0/0
20141003,1800,,TS,18.7N,110.2W,55,995,40/40/30/30,20/20/0/10,0/0/0/0
20141004,0000,,HU,19.0N,111.2W,65,985,50/40/30/30,20/20/0/10,10/0/0/0
20141004,0600,,HU,19.3N,112.2W,75,978,50/40/30/30,20/20/10/10,10/10/0/0
20141004,1200,,HU,19.8N,113.4W,90,969,60/60/40/60,30/30/20/30,20/20/10/20
20141004,1800,,HU,20.3N,114.6W,105,950,80/80/60/70,40/40/20/30,15/15/15/15
20141005,0000,,HU,21.0N,115.6W,115,946,80/80/60/70,40/40/20/30,20/20/15/20
20141005,0600,,HU,21.8N,116.4W,100,957,80/80/60/70,40/40/20/30,20/15/10/15
20141005,1200,,HU,22.4N,117.0W,90,968,80/80/60/70,40/40/20/30,20/15/10/15
20141005,1800,,HU,23.1N,117.5W,70,978,90/80/80/80,40/40/20/40,20/0/0/0
20141006,0000,,TS,23.6N,117.6W,60,986,90/80/80/90,40/40/20/40,0/0/0/0
20141006,0600,,TS,24.2N,117.6W,55,992,90/80/60/90,40/30/10/30,0/0/0/0
20141006,1200,,TS,24.8N,117.6W,50,996,90/80/60/90,30/20/0/20,0/0/0/0
20141006,1800,,TS,25.4N,117.6W,45,997,90/80/60/90,0/0/0/0,0/0/0/0
20141007,0000,,TS,26.0N,117.6W,40,1000,90/80/60/90,0/0/0/0,0/0/0/0
20141007,0600,,TS,26.6N,117.3W,40,1001,90/80/50/90,0/0/0/0,0/0/0/0
20141007,1200,,TS,27.1N,116.8W,35,1002,90/80/50/90,0/0/0/0,0/0/0/0
20141007,1800,,TS,27.6N,116.4W,35,1002,90/80/0/80,0/0/0/0,0/0/0/0
20141008,0000,,LO,27.9N,115.9W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20141008,0600,,LO,28.1N,115.3W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20141008,1200,,LO,28.3N,114.6W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20141008,1800,,LO,28.2N,114.0W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20141009,0000,,LO,27.7N,113.4W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
