date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20150820,0000,,DB,10.0N,145.3W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150820,0600,,DB,10.3N,146.7W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150820,1200,,DB,10.6N,148.0W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150820,1800,,DB,11.0N,149.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150821,0000,,DB,11.6N,150.0W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150821,0600,,DB,12.2N,150.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150821,1200,,DB,12.8N,152.0W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150821,1800,,LO,13.2N,153.2W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150822,0000,,LO,13.3N,154.4W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150822,0600,,TD,13.2N,155.8W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150822,1200,,TD,13.7N,157.2W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150822,1800,,TD,13.9N,158.7W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150823,0000,,TD,14.1N,160.2W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150823,0600,,TD,14.3N,161.8W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150823,1200,,TD,14.4N,163.3W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150823,1800,,TD,14.5N,164.6W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150824,0000,,TD,14.6N,165.8W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150824,0600,,TD,15.0N,166.8W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150824,1200,,TD,15.7N,167.2W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150824,1800,,TD,16.5N,167.2W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150825,0000,,TD,17.3N,167.2W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150825,0600,,TD,18.0N,167.2W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150825,1200,,TD,18.3N,167.2W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150825,1800,,TD,18.5N,167.2W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150826,0000,,TD,18.7N,167.3W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150826,0600,,TD,18.7N,167.5W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150826,1200,,TD,18.5N,167.6W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150826,1800,,TS,18.3N,167.7W,35,1004,0/30/30/0,0/0/0/0,0/0/0/0
20150827,0000,,TS,18.1N,167.8W,40,1003,20/40/40/20,0/0/0/0,0/0/0/0
20150827,0600,,TS,18.0N,167.9W,45,1001,30/40/40/30,0/0/0/0,0/0/0/0
20150827,1200,,TS,17.9N,168.0W,50,996,40/50/50/40,15/15/15/15,0/0/0/0
20150827,1800,,TS,17.7N,168.3W,55,992,60/50/50/60,20/15/15/20,0/0/0/0
20150828,0000,,TS,17.5N,168.8W,60,990,60/50/50/60,20/15/15/20,0/0/0/0
20150828,0600,,TS,17.4N,169.5W,60,990,70/50/50/70,30/20/20/30,0/0/0/0
20150828,1200,,TS,17.4N,170.4W,60,990,80/50/50/80,40/20/20/40,0/0/0/0
20150828,1800,,TS,17.5N,171.3W,60,990,80/50/50/80,40/20/20/40,0/0/0/0
20150829,0000,,TS,17.6N,172.1W,60,990,80/50/70/90,40/20/20/40,0/0/0/0
20150829,0600,,HU,17.7N,173.0W,65,985,100/60/70/100,50/20/20/50,25/0/0/25
20150829,1200,,HU,17.8N,173.9W,80,976,100/60/70/100,50/20/20/50,30/0/0/30
20150829,1800,,HU,17.9N,174.8W,110,952,110/80/70/110,60/40/30/60,40/30/20/40
20150830,0000,,HU,18.1N,175.7W,115,948,120/90/70/120,70/50/30/70,40/30/20/40
20150830,0600,,HU,18.3N,176.4W,120,940,120/100/70/120,70/50/30/70,40/30/20/40
20150830,1200,,HU,18.6N,177.0W,115,946,120/100/60/120,70/60/40/70,40/30/20/40
20150830,1800,,HU,18.9N,177.6W,110,952,120/100/60/120,70/50/40/60,40/20/20/30
20150831,0000,,HU,19.6N,178.1W,110,952,120/100/60/120,60/40/40/50,30/20/20/30
20150831,0600,,HU,20.3N,178.5W,105,956,130/100/60/120,60/40/40/50,30/20/20/30
20150831,1200,,HU,21.0N,178.8W,100,959,130/100/70/110,70/60/40/50,35/30/20/30
20150831,1800,,HU,21.6N,179.2W,100,959,130/100/70/110,70/60/40/50,35/30/20/30
20150901,0000,,HU,22.2N,179.5W,100,959,130/100/70/110,60/50/40/50,30/25/20/25
20150901,0600,,HU,22.8N,179.6W,100,959,130/100/70/110,60/50/40/50,30/25/20/25
20150901,1200,,HU,23.3N,179.9W,100,959,130/100/70/110,60/50/50/50,30/25/20/25
20150901,1800,,TY,23.6N,179.9E,90,965,120/120/120/120,60/55/50/50,30/25/20/25
20150902,0000,,TY,24.0N,179.6E,85,968,120/120/120/120,60/55/50/50,30/25/20/25
20150902,0600,,TY,24.2N,179.2E,80,972,120/120/120/120,60/55/50/50,30/25/20/25
20150902,1200,,TY,24.5N,178.7E,80,972,120/120/120/120,60/55/50/50,30/25/20/25
20150902,1800,,TY,24.7N,178.3E,80,971,135/135/135/135,65/65/65/70,40/35/35/40
