date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20150528,0600,,TD,10.8N,109.9W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150528,1200,,TS,11.1N,111.0W,40,1002,50/40/0/40,0/0/0/0,0/0/0/0
20150528,1800,,TS,11.4N,112.1W,50,998,80/70/30/40,30/0/0/0,0/0/0/0
20150529,0000,,TS,11.6N,112.9W,60,997,80/80/30/40,30/0/0/0,0/0/0/0
20150529,0600,,TS,11.9N,113.6W,60,994,80/100/30/40,40/30/0/20,0/0/0/0
20150529,1200,,TS,12.2N,114.1W,60,994,80/100/30/40,40/30/0/20,0/0/0/0
20150529,1800,,HU,12.6N,114.6W,65,990,80/100/50/60,40/30/20/20,20/20/0/0
20150530,0000,,HU,13.2N,115.0W,75,986,80/100/50/60,40/30/20/20,20/20/10/0
20150530,0600,,HU,13.6N,115.3W,80,978,90/100/50/60,50/40/20/30,20/20/10/10
20150530,1200,,HU,14.1N,115.7W,85,973,110/120/60/70,50/50/30/40,25/20/15/20
20150530,1800,,HU,14.6N,116.1W,95,964,140/130/70/80,60/60/30/40,30/25/15/20
20150531,0000,,HU,15.0N,116.6W,100,959,140/130/70/80,60/60/30/40,30/25/15/20
20150531,0600,,HU,15.2N,117.1W,100,959,140/110/80/100,60/40/40/50,30/25/15/25
20150531,1200,,HU,15.3N,117.8W,100,959,140/90/80/100,60/40/40/50,30/25/15/25
20150531,1800,,HU,15.3N,118.5W,110,951,140/90/80/100,60/40/40/50,30/30/20/30
20150601,0000,,HU,15.3N,119.0W,120,943,140/90/80/100,60/40/40/50,30/30/20/30
20150601,0600,,HU,15.4N,119.5W,125,937,140/100/90/100,60/50/50/50,35/30/20/30
20150601,1200,,HU,15.5N,120.0W,125,937,140/120/90/100,60/50/50/50,40/30/20/30
20150601,1800,,HU,15.8N,120.6W,115,952,130/130/90/110,50/50/40/50,35/30/10/20
20150602,0000,,HU,16.3N,121.2W,100,960,130/130/90/110,50/40/40/50,30/30/10/20
20150602,0600,,HU,16.9N,121.9W,90,969,130/130/90/110,50/40/40/50,30/30/10/20
20150602,1200,,HU,17.4N,122.7W,80,976,120/100/80/110,50/40/40/50,20/20/10/20
20150602,1800,,HU,18.0N,123.5W,75,980,120/100/80/110,50/40/40/50,20/10/10/20
20150603,0000,,HU,18.5N,124.2W,70,984,100/90/80/110,40/30/30/40,20/10/10/20
20150603,0600,,TS,18.9N,124.7W,60,990,100/80/80/100,40/30/30/40,0/0/0/0
20150603,1200,,TS,19.3N,125.1W,55,992,100/80/80/90,30/0/0/30,0/0/0/0
20150603,1800,,TS,19.8N,125.3W,50,996,90/80/70/80,30/0/0/30,0/0/0/0
20150604,0000,,TS,20.0N,125.3W,45,998,90/80/70/80,0/0/0/0,0/0/0/0
20150604,0600,,TS,20.2N,125.1W,45,1000,70/60/60/70,0/0/0/0,0/0/0/0
20150604,1200,,LO,20.2N,124.8W,35,1003,60/50/30/60,0/0/0/0,0/0/0/0
20150604,1800,,LO,20.1N,124.4W,35,1005,0/0/0/60,0/0/0/0,0/0/0/0
20150605,0000,,LO,19.9N,123.9W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150605,0600,,LO,19.8N,123.4W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150605,1200,,LO,19.6N,122.9W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150605,1800,,LO,19.4N,122.4W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150606,0000,,LO,19.0N,121.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150606,0600,,LO,18.8N,121.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150606,1200,,LO,18.6N,120.8W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150606,1800,,LO,18.4N,120.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150607,0000,,LO,18.3N,119.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
