date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20150610,1200,,LO,11.5N,97.8W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150610,1800,,TD,12.0N,98.5W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20150611,0000,,TD,12.5N,99.3W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20150611,0600,,TD,13.1N,99.8W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20150611,1200,,TS,13.7N,100.1W,35,1001,40/50/40/0,0/0/0/0,0/0/0/0
20150611,1800,,TS,14.1N,100.3W,45,1000,40/70/60/40,0/0/0/0,0/0/0/0
20150612,0000,,TS,14.4N,100.5W,50,997,50/70/60/40,20/30/30/0,0/0/0/0
20150612,0600,,TS,14.5N,100.6W,50,997,50/70/60/40,20/30/30/0,0/0/0/0
20150612,1200,,TS,14.6N,100.6W,50,997,50/70/60/40,20/30/30/0,0/0/0/0
20150612,1800,,TS,14.6N,100.3W,50,997,50/70/60/40,20/30/30/0,0/0/0/0
20150613,0000,,TS,14.7N,100.0W,50,997,50/70/60/40,20/30/30/0,0/0/0/0
20150613,0600,,TS,14.9N,99.9W,60,992,50/70/60/50,30/30/30/0,0/0/0/0
20150613,1200,,HU,15.0N,99.9W,65,986,60/80/60/50,30/40/30/20,20/20/20/0
20150613,1800,,HU,15.1N,99.9W,75,978,70/80/60/60,40/40/30/30,20/20/20/20
20150614,0000,,HU,15.3N,100.0W,75,978,70/80/60/60,40/40/30/30,20/20/20/20
20150614,0600,,HU,15.6N,100.1W,70,981,70/70/60/60,40/40/30/30,20/20/20/20
20150614,1200,,HU,16.0N,100.3W,65,984,60/60/50/60,30/30/30/30,20/20/20/20
20150614,1800,,HU,16.4N,100.7W,65,988,50/50/40/50,30/30/20/30,20/20/0/20
20150615,0000,,TS,16.6N,101.2W,60,993,40/40/30/40,20/20/20/20,0/0/0/0
20150615,0600,,TS,16.7N,101.7W,60,993,40/40/30/30,20/20/20/20,0/0/0/0
20150615,1200,,TS,16.8N,102.2W,60,993,40/30/30/30,20/20/10/20,0/0/0/0
20150615,1800,,HU,16.9N,102.8W,65,992,30/30/20/30,20/20/10/20,10/10/0/10
20150616,0000,,HU,17.0N,103.2W,65,990,30/30/20/30,20/20/10/20,10/10/0/10
20150616,0600,,HU,17.2N,103.6W,70,989,30/30/30/30,20/20/10/20,10/10/0/10
20150616,1200,,HU,17.4N,104.0W,75,987,40/40/30/30,20/20/20/20,10/10/10/10
20150616,1800,,HU,17.7N,104.3W,80,984,40/40/30/30,20/20/20/20,10/10/10/10
20150617,0000,,HU,18.2N,104.5W,70,989,40/40/30/30,20/20/20/20,10/10/0/0
20150617,0600,,TS,18.8N,104.7W,55,995,30/30/30/30,10/10/10/10,0/0/0/0
20150617,0900,L,TS,19.3N,104.9W,45,998,30/30/30/30,0/0/0/0,0/0/0/0
20150617,1200,,TS,19.7N,105.1W,35,1003,20/30/30/30,0/0/0/0,0/0/0/0
20150617,1800,,LO,20.4N,105.7W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150618,0000,,LO,21.4N,106.2W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
