date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20150816,0000,,TD,16.5N,112.9W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20150816,0600,,TD,17.2N,114.0W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20150816,1200,,TD,18.1N,115.3W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20150816,1800,,TD,18.9N,116.7W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20150817,0000,,TD,19.7N,118.1W,30,1003,0/0/0/0,0/0/0/0,0/0/0/0
20150817,0600,,TD,20.6N,119.3W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20150817,1200,,TD,21.5N,120.6W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20150817,1800,,TD,22.5N,122.0W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20150818,0000,,LO,23.5N,123.4W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150818,0600,,LO,24.5N,125.0W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150818,1200,,LO,25.2N,126.3W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150818,1800,,LO,25.9N,127.4W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150819,0000,,LO,26.5N,128.6W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20150819,0600,,LO,26.9N,129.7W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20150819,1200,,LO,27.7N,130.6W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20150819,1800,,LO,28.6N,131.1W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20150820,0000,,LO,29.3N,131.4W,15,1010,0/0/0/0,0/0/0/0,0/0/0/0
