date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20150831,1800,,TD,11.8N,111.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150901,0000,,TD,12.0N,112.4W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150901,0600,,TD,12.2N,113.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150901,1200,,TD,12.6N,113.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20150901,1800,,TS,13.1N,113.9W,35,1006,60/150/0/0,0/0/0/0,0/0/0/0
20150902,0000,,TS,13.8N,114.2W,35,1006,60/120/0/0,0/0/0/0,0/0/0/0
20150902,0600,,TS,14.7N,114.4W,35,1005,40/90/0/40,0/0/0/0,0/0/0/0
20150902,1200,,TS,15.6N,114.7W,35,1005,40/60/0/40,0/0/0/0,0/0/0/0
20150902,1800,,TS,16.2N,114.9W,35,1005,40/30/0/40,0/0/0/0,0/0/0/0
20150903,0000,,TS,16.7N,115.1W,40,1003,40/0/0/60,0/0/0/0,0/0/0/0
20150903,0600,,TS,17.2N,115.4W,45,1001,40/0/0/60,0/0/0/0,0/0/0/0
20150903,1200,,TS,17.7N,115.6W,45,1000,40/0/0/60,0/0/0/0,0/0/0/0
20150903,1800,,TS,18.5N,115.8W,50,998,40/0/0/60,20/0/0/0,0/0/0/0
20150904,0000,,TS,19.4N,115.7W,45,999,40/0/0/60,0/0/0/0,0/0/0/0
20150904,0600,,TS,20.2N,115.5W,45,1000,40/0/0/60,0/0/0/0,0/0/0/0
20150904,1200,,TS,20.9N,115.3W,45,1001,40/0/0/60,0/0/0/0,0/0/0/0
20150904,1800,,TS,21.6N,115.1W,40,1002,40/0/0/60,0/0/0/0,0/0/0/0
20150905,0000,,TS,22.3N,114.8W,35,1003,40/0/0/60,0/0/0/0,0/0/0/0
20150905,0600,,TD,22.8N,114.6W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20150905,1200,,LO,23.2N,114.3W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20150905,1800,,LO,23.7N,114.5W,20,1010,0/0/0/0,0/0/0/0,0/0/0/0
20150906,0000,,LO,24.0N,114.7W,15,1012,0/0/0/0,0/0/0/0,0/0/0/0
20150906,0600,,LO,24.1N,114.8W,15,1013,0/0/0/0,0/0/0/0,0/0/0/0
