date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20160701,0600,,LO,13.3N,114.3W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160701,1200,,LO,13.7N,115.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160701,1800,,LO,14.1N,115.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160702,0000,,TD,14.5N,116.7W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160702,0600,,TD,14.9N,117.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20160702,1200,,TD,15.3N,118.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20160702,1800,,TS,15.8N,119.7W,35,1005,40/0/0/40,0/0/0/0,0/0/0/0
20160703,0000,,TS,16.3N,121.0W,40,1004,40/30/0/40,0/0/0/0,0/0/0/0
20160703,0600,,TS,16.8N,122.1W,45,1002,40/30/30/40,0/0/0/0,0/0/0/0
20160703,1200,,TS,17.2N,123.3W,45,1002,40/30/30/40,0/0/0/0,0/0/0/0
20160703,1800,,TS,17.5N,124.4W,40,1004,40/30/30/40,0/0/0/0,0/0/0/0
20160704,0000,,TS,17.8N,125.5W,40,1004,40/0/0/40,0/0/0/0,0/0/0/0
20160704,0600,,TS,18.1N,126.6W,40,1006,40/0/0/40,0/0/0/0,0/0/0/0
20160704,1200,,TS,18.4N,127.7W,35,1007,30/0/0/30,0/0/0/0,0/0/0/0
20160704,1800,,TD,18.8N,128.8W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160705,0000,,TD,19.1N,129.9W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160705,0600,,LO,19.4N,130.9W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160705,1200,,LO,19.6N,131.9W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20160705,1800,,LO,19.8N,132.9W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20160706,0000,,LO,20.0N,133.9W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20160706,0600,,LO,20.2N,134.9W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160706,1200,,LO,20.4N,135.9W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160706,1800,,LO,20.6N,137.0W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160707,0000,,LO,20.7N,138.1W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160707,0600,,LO,20.8N,139.1W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160707,1200,,LO,20.8N,140.0W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160707,1800,,LO,20.7N,140.8W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160708,0000,,LO,20.6N,141.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160708,0600,,LO,20.4N,142.2W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
