date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20160711,1200,,TD,14.5N,105.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160711,1800,,TD,15.0N,105.7W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160712,0000,,TD,15.5N,106.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160712,0600,,TD,15.8N,107.2W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160712,1200,,TS,15.9N,108.2W,35,1006,30/0/0/30,0/0/0/0,0/0/0/0
20160712,1800,,TS,15.6N,109.2W,45,1002,40/30/30/40,0/0/0/0,0/0/0/0
20160713,0000,,TS,15.4N,110.1W,55,1000,50/30/30/50,20/0/0/20,0/0/0/0
20160713,0600,,TS,15.3N,111.0W,60,998,60/40/40/60,30/20/20/30,0/0/0/0
20160713,1200,,TS,15.3N,111.9W,60,996,70/50/50/70,30/20/20/30,0/0/0/0
20160713,1800,,HU,15.4N,112.9W,65,992,80/60/60/80,40/30/30/40,20/0/0/20
20160714,0000,,HU,15.5N,114.0W,70,989,80/60/60/80,40/30/30/40,20/15/15/20
20160714,0600,,HU,15.6N,115.2W,70,989,80/70/60/80,40/30/30/40,20/15/15/20
20160714,1200,,HU,15.7N,116.3W,70,987,80/70/60/80,40/30/30/40,20/15/15/20
20160714,1800,,HU,15.8N,117.5W,75,984,90/80/70/90,50/40/40/50,25/20/20/25
20160715,0000,,HU,15.9N,118.6W,80,982,90/80/70/90,50/40/40/50,25/20/20/25
20160715,0600,,HU,16.0N,119.5W,85,979,100/80/70/90,50/40/40/50,25/20/20/25
20160715,1200,,HU,16.3N,120.3W,90,974,100/80/70/90,50/40/40/50,25/20/20/25
20160715,1800,,HU,16.7N,121.1W,90,972,100/80/70/90,50/40/30/40,30/20/20/25
20160716,0000,,HU,17.1N,121.9W,90,971,100/80/70/90,50/40/30/40,30/20/20/25
20160716,0600,,HU,17.4N,122.7W,95,968,100/70/60/90,50/40/30/40,30/25/20/25
20160716,1200,,HU,17.7N,123.5W,100,964,100/70/60/90,50/40/30/40,30/25/20/25
20160716,1800,,HU,17.9N,124.4W,105,958,100/70/60/90,40/30/30/40,25/20/20/25
20160717,0000,,HU,18.0N,125.3W,100,962,100/70/60/90,40/30/30/40,25/20/20/25
20160717,0600,,HU,18.1N,126.2W,95,967,100/70/60/90,40/30/30/40,25/20/20/25
20160717,1200,,HU,18.2N,127.0W,90,971,100/70/60/90,40/30/30/40,25/20/20/25
20160717,1800,,HU,18.3N,127.8W,85,975,90/70/60/90,40/30/30/40,25/20/20/25
20160718,0000,,HU,18.3N,128.7W,80,979,90/70/60/90,40/30/30/40,25/20/20/25
20160718,0600,,HU,18.4N,129.6W,75,982,90/70/60/90,40/30/30/40,25/20/20/25
20160718,1200,,HU,18.5N,130.6W,70,986,80/70/60/80,40/30/30/40,25/20/20/25
20160718,1800,,HU,18.8N,131.6W,65,988,80/70/60/80,40/30/30/40,25/20/0/25
20160719,0000,,HU,19.0N,132.7W,65,988,80/70/60/80,40/30/30/40,25/20/0/25
20160719,0600,,TS,19.3N,133.8W,60,990,80/70/60/80,40/30/30/40,0/0/0/0
20160719,1200,,TS,19.6N,134.9W,60,992,80/70/60/80,40/30/30/40,0/0/0/0
20160719,1800,,TS,19.8N,136.0W,55,994,80/60/50/80,40/30/30/40,0/0/0/0
20160720,0000,,TS,19.9N,137.2W,55,995,80/60/50/80,40/30/30/40,0/0/0/0
20160720,0600,,TS,19.9N,138.4W,55,996,80/60/50/80,40/30/30/40,0/0/0/0
20160720,1200,,TS,19.9N,139.6W,50,999,80/60/50/80,40/0/0/40,0/0/0/0
