date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20160721,0600,,TD,13.2N,101.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160721,1200,,TS,14.0N,102.5W,35,1006,50/30/0/30,0/0/0/0,0/0/0/0
20160721,1800,,TS,14.8N,103.6W,40,1005,50/30/0/30,0/0/0/0,0/0/0/0
20160722,0000,,TS,15.6N,104.7W,45,1004,50/30/0/30,0/0/0/0,0/0/0/0
20160722,0600,,TS,16.4N,105.8W,45,1000,60/50/0/40,0/0/0/0,0/0/0/0
20160722,1200,,TS,17.2N,106.9W,45,1000,70/50/30/60,0/0/0/0,0/0/0/0
20160722,1800,,TS,17.7N,107.8W,50,1000,70/60/40/60,30/0/0/0,0/0/0/0
20160723,0000,,TS,18.0N,108.5W,55,998,80/60/40/70,30/0/0/0,0/0/0/0
20160723,0600,,TS,18.3N,109.1W,55,994,80/60/40/70,30/0/0/0,0/0/0/0
20160723,1200,,TS,18.6N,109.7W,55,994,80/60/40/70,30/0/0/0,0/0/0/0
20160723,1800,,TS,19.0N,110.3W,55,994,80/60/40/70,30/0/0/0,0/0/0/0
20160724,0000,,TS,19.3N,110.8W,55,994,80/60/40/70,30/0/0/0,0/0/0/0
20160724,0600,,TS,19.6N,111.4W,55,994,80/70/40/70,30/0/0/0,0/0/0/0
20160724,1200,,TS,19.8N,111.9W,55,994,60/70/40/70,30/30/0/0,0/0/0/0
20160724,1800,,TS,19.9N,112.3W,60,992,60/70/40/70,40/30/0/30,0/0/0/0
20160725,0000,,TS,20.1N,112.8W,60,992,60/70/40/60,40/30/0/30,0/0/0/0
20160725,0600,,TS,20.2N,113.2W,55,994,60/70/40/60,40/30/0/30,0/0/0/0
20160725,1200,,TS,20.3N,113.7W,50,994,60/70/40/60,40/30/0/30,0/0/0/0
20160725,1800,,TS,20.5N,114.2W,45,996,60/60/40/60,0/0/0/0,0/0/0/0
20160726,0000,,TS,20.7N,114.7W,50,994,60/60/40/60,30/30/0/30,0/0/0/0
20160726,0600,,TS,20.9N,115.4W,55,994,60/60/40/60,30/30/0/30,0/0/0/0
20160726,1200,,HU,21.1N,116.2W,65,989,70/60/40/60,30/30/30/30,20/0/0/0
20160726,1800,,HU,21.3N,117.2W,70,986,80/60/50/80,40/30/30/40,20/0/0/20
20160727,0000,,HU,21.6N,118.2W,75,979,80/60/50/80,40/30/30/40,20/0/0/20
20160727,0600,,HU,22.0N,119.2W,75,985,50/40/40/50,30/20/20/30,20/0/0/20
20160727,1200,,TS,22.4N,120.3W,60,993,50/40/40/50,30/20/20/30,0/0/0/0
20160727,1800,,TS,22.9N,121.4W,55,996,40/30/30/50,20/0/0/20,0/0/0/0
20160728,0000,,TS,23.2N,122.4W,45,1000,40/30/30/50,0/0/0/0,0/0/0/0
20160728,0600,,TS,23.4N,123.3W,35,1004,40/0/0/0,0/0/0/0,0/0/0/0
20160728,1200,,LO,23.6N,124.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20160728,1800,,LO,24.0N,124.6W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160729,0000,,LO,24.1N,125.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160729,0600,,LO,24.2N,125.6W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20160729,1200,,LO,24.2N,126.0W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20160729,1800,,LO,24.1N,126.4W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20160730,0000,,LO,23.8N,126.7W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20160730,0600,,LO,23.6N,127.0W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20160730,1200,,LO,23.4N,127.3W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
20160730,1800,,LO,23.2N,127.7W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
