date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20160803,0000,,TD,13.8N,116.7W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160803,0600,,TS,14.0N,118.3W,35,1006,40/0/0/0,0/0/0/0,0/0/0/0
20160803,1200,,TS,14.2N,119.8W,40,1005,50/30/0/50,0/0/0/0,0/0/0/0
20160803,1800,,TS,14.4N,121.4W,40,1004,60/40/0/60,0/0/0/0,0/0/0/0
20160804,0000,,TS,14.6N,122.8W,40,1004,60/40/0/60,0/0/0/0,0/0/0/0
20160804,0600,,TS,14.7N,124.1W,40,1004,70/40/0/60,0/0/0/0,0/0/0/0
20160804,1200,,TS,14.8N,125.5W,40,1003,70/40/0/50,0/0/0/0,0/0/0/0
20160804,1800,,TS,14.8N,126.7W,45,1002,60/40/0/40,0/0/0/0,0/0/0/0
20160805,0000,,TS,14.8N,128.0W,45,1002,60/40/0/40,0/0/0/0,0/0/0/0
20160805,0600,,TS,14.9N,129.2W,45,1002,60/40/0/40,0/0/0/0,0/0/0/0
20160805,1200,,TS,15.1N,130.3W,45,1001,70/50/20/50,0/0/0/0,0/0/0/0
20160805,1800,,TS,15.3N,131.2W,50,1000,70/50/20/50,30/0/0/0,0/0/0/0
20160806,0000,,TS,15.4N,132.1W,50,1000,80/60/30/60,30/0/0/0,0/0/0/0
20160806,0600,,TS,15.6N,133.1W,45,1002,80/60/30/60,0/0/0/0,0/0/0/0
20160806,1200,,TS,15.8N,134.0W,45,1003,80/60/30/60,0/0/0/0,0/0/0/0
20160806,1800,,TS,16.1N,134.9W,45,1003,80/60/30/60,0/0/0/0,0/0/0/0
20160807,0000,,TS,16.4N,135.9W,40,1004,80/60/30/60,0/0/0/0,0/0/0/0
20160807,0600,,TS,16.7N,136.8W,40,1005,70/0/0/50,0/0/0/0,0/0/0/0
20160807,1200,,TS,17.0N,137.7W,35,1006,70/0/0/50,0/0/0/0,0/0/0/0
20160807,1800,,TS,17.2N,138.5W,35,1006,70/0/0/50,0/0/0/0,0/0/0/0
20160808,0000,,TS,17.2N,139.4W,35,1006,70/0/0/50,0/0/0/0,0/0/0/0
20160808,0600,,TD,17.1N,140.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160808,1200,,TD,17.1N,140.7W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20160808,1800,,LO,17.1N,141.3W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160809,0000,,LO,17.1N,142.2W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160809,0600,,LO,17.0N,143.2W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160809,1200,,LO,16.9N,144.4W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160809,1800,,LO,16.7N,145.6W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160810,0000,,LO,16.4N,146.8W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160810,0600,,LO,16.0N,148.3W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20160810,1200,,LO,15.6N,150.0W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20160810,1800,,LO,15.2N,151.7W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20160811,0000,,LO,14.8N,153.4W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
