date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20160817,0000,,LO,12.4N,106.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160817,0600,,LO,13.1N,106.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160817,1200,,LO,13.8N,107.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160817,1800,,LO,14.6N,107.8W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160818,0000,,LO,15.4N,108.3W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20160818,0600,,LO,16.2N,108.8W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20160818,1200,,TD,16.9N,109.2W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20160818,1800,,TD,17.4N,109.7W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20160819,0000,,TD,17.7N,110.1W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20160819,0600,,TS,18.0N,110.6W,35,1004,0/70/0/0,0/0/0/0,0/0/0/0
20160819,1200,,TS,18.3N,111.1W,35,1004,0/70/0/0,0/0/0/0,0/0/0/0
20160819,1800,,TS,18.6N,111.5W,35,1004,0/70/50/40,0/0/0/0,0/0/0/0
20160820,0000,,TS,19.1N,111.8W,40,1003,0/0/50/40,0/0/0/0,0/0/0/0
20160820,0600,,TS,19.5N,112.1W,40,1003,0/0/50/40,0/0/0/0,0/0/0/0
20160820,1200,,TS,19.8N,112.4W,45,1002,0/0/50/40,0/0/0/0,0/0/0/0
20160820,1800,,TS,20.1N,112.7W,40,1003,0/0/40/40,0/0/0/0,0/0/0/0
20160821,0000,,TS,20.4N,113.1W,40,1003,0/0/40/40,0/0/0/0,0/0/0/0
20160821,0600,,TS,20.7N,113.7W,35,1005,50/40/30/40,0/0/0/0,0/0/0/0
20160821,1200,,TS,21.0N,114.4W,40,1002,50/40/30/40,0/0/0/0,0/0/0/0
20160821,1800,,TS,21.3N,115.0W,45,1000,50/30/30/40,0/0/0/0,0/0/0/0
20160822,0000,,TS,21.6N,115.6W,45,1000,40/30/30/40,0/0/0/0,0/0/0/0
20160822,0600,,TS,21.8N,116.2W,45,1001,40/30/30/40,0/0/0/0,0/0/0/0
20160822,1200,,TS,21.9N,116.8W,45,1001,40/30/30/40,0/0/0/0,0/0/0/0
20160822,1800,,TS,21.9N,117.5W,40,1003,30/30/30/30,0/0/0/0,0/0/0/0
20160823,0000,,TS,21.9N,118.2W,35,1004,30/30/30/30,0/0/0/0,0/0/0/0
20160823,0600,,TD,22.1N,119.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20160823,1200,,LO,22.6N,119.8W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160823,1800,,LO,23.2N,120.6W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20160824,0000,,LO,23.5N,121.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160824,0600,,LO,23.7N,122.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160824,1200,,LO,23.8N,123.5W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20160824,1800,,LO,23.9N,124.5W,25,1012,0/0/0/0,0/0/0/0,0/0/0/0
20160825,0000,,LO,23.9N,125.5W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
20160825,0600,,LO,23.8N,126.6W,20,1013,0/0/0/0,0/0/0/0,0/0/0/0
20160825,1200,,LO,23.8N,127.7W,20,1013,0/0/0/0,0/0/0/0,0/0/0/0
20160825,1800,,LO,23.7N,128.7W,20,1014,0/0/0/0,0/0/0/0,0/0/0/0
20160826,0000,,LO,23.6N,129.7W,20,1014,0/0/0/0,0/0/0/0,0/0/0/0
20160826,0600,,LO,23.5N,130.7W,20,1014,0/0/0/0,0/0/0/0,0/0/0/0
