date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20160910,1200,,LO,12.3N,113.1W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20160910,1800,,LO,13.0N,113.8W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20160911,0000,,TD,13.7N,114.5W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160911,0600,,TS,14.5N,115.4W,35,1007,50/0/0/0,0/0/0/0,0/0/0/0
20160911,1200,,TS,15.3N,116.2W,40,1005,50/40/0/40,0/0/0/0,0/0/0/0
20160911,1800,,TS,15.9N,117.2W,45,1003,50/40/30/50,0/0/0/0,0/0/0/0
20160912,0000,,TS,16.4N,118.0W,55,1001,50/50/40/50,20/20/0/20,0/0/0/0
20160912,0600,,HU,16.8N,118.7W,65,994,70/60/50/70,40/30/20/40,20/0/0/0
20160912,1200,,HU,17.2N,119.1W,80,980,100/90/50/70,50/40/20/40,20/10/0/0
20160912,1800,,HU,17.7N,119.2W,95,967,110/100/60/80,60/50/30/40,20/20/10/10
20160913,0000,,HU,18.4N,119.1W,95,970,110/100/60/80,60/50/30/40,20/20/10/10
20160913,0600,,HU,18.9N,118.9W,90,971,80/80/70/80,40/40/30/40,20/20/10/20
20160913,1200,,HU,19.2N,118.8W,85,974,80/80/70/80,40/40/30/40,20/20/10/20
20160913,1800,,HU,19.6N,118.7W,80,977,80/80/70/80,40/40/40/40,20/20/10/20
20160914,0000,,HU,19.8N,118.6W,75,980,80/80/80/80,40/40/40/40,20/20/20/20
20160914,0600,,HU,20.1N,118.6W,70,984,80/80/80/80,40/40/40/40,20/20/20/20
20160914,1200,,HU,20.1N,119.0W,70,984,80/80/80/80,40/40/40/40,20/20/20/20
20160914,1800,,HU,20.2N,119.4W,65,987,80/80/80/80,40/40/40/40,20/20/20/20
20160915,0000,,TS,20.3N,120.0W,60,991,80/80/60/80,40/40/30/40,0/0/0/0
20160915,0600,,TS,20.2N,120.7W,60,991,70/50/50/70,30/20/20/30,0/0/0/0
20160915,1200,,HU,20.0N,121.5W,70,985,70/50/50/70,30/20/20/30,15/0/0/15
20160915,1800,,HU,19.9N,122.3W,65,990,60/50/50/60,30/20/20/30,15/0/0/15
20160916,0000,,TS,19.9N,123.3W,55,998,60/50/40/60,30/0/20/30,0/0/0/0
20160916,0600,,TS,19.9N,124.4W,45,1002,60/50/40/60,0/0/0/0,0/0/0/0
20160916,1200,,TS,19.9N,125.4W,40,1003,50/50/30/50,0/0/0/0,0/0/0/0
20160916,1800,,TS,20.0N,126.2W,35,1005,40/0/0/40,0/0/0/0,0/0/0/0
20160917,0000,,LO,20.1N,127.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20160917,0600,,LO,20.2N,128.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
