date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20160925,1200,,TD,15.3N,119.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20160925,1800,,TD,15.8N,119.7W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20160926,0000,,TS,16.2N,119.7W,35,1005,60/60/0/0,0/0/0/0,0/0/0/0
20160926,0600,,TS,16.5N,119.6W,40,1003,60/60/0/0,0/0/0/0,0/0/0/0
20160926,1200,,TS,16.7N,119.4W,45,999,80/80/0/0,0/0/0/0,0/0/0/0
20160926,1800,,TS,16.8N,119.0W,45,999,130/90/40/80,0/0/0/0,0/0/0/0
20160927,0000,,TS,17.0N,118.6W,45,999,130/90/40/80,0/0/0/0,0/0/0/0
20160927,0600,,TS,17.5N,118.1W,40,1003,120/90/40/80,0/0/0/0,0/0/0/0
20160927,1200,,TS,18.0N,117.5W,40,1003,120/90/40/80,0/0/0/0,0/0/0/0
20160927,1800,,TS,18.5N,116.8W,40,1003,120/90/40/80,0/0/0/0,0/0/0/0
20160928,0000,,TS,19.2N,116.1W,35,1004,120/90/0/80,0/0/0/0,0/0/0/0
20160928,0600,,TS,20.0N,115.5W,35,1005,0/60/0/60,0/0/0/0,0/0/0/0
20160928,1200,,TS,20.7N,115.2W,35,1006,0/0/0/60,0/0/0/0,0/0/0/0
20160928,1800,,TS,21.3N,115.1W,35,1007,0/0/0/60,0/0/0/0,0/0/0/0
20160929,0000,,TD,21.8N,115.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160929,0600,,TD,22.5N,115.2W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160929,1200,,LO,23.2N,115.4W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160929,1800,,LO,23.8N,115.7W,20,1012,0/0/0/0,0/0/0/0,0/0/0/0
20160930,0000,,LO,24.2N,116.0W,15,1012,0/0/0/0,0/0/0/0,0/0/0/0
20160930,0600,,LO,24.4N,116.5W,15,1014,0/0/0/0,0/0/0/0,0/0/0/0
20160930,1200,,LO,24.3N,116.9W,15,1014,0/0/0/0,0/0/0/0,0/0/0/0
20160930,1800,,LO,24.0N,117.2W,15,1014,0/0/0/0,0/0/0/0,0/0/0/0
