date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20160925,1200,,LO,11.8N,137.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20160925,1800,,LO,11.5N,138.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160926,0000,,LO,11.3N,138.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20160926,0600,,TD,11.2N,139.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20160926,1200,,TD,11.3N,139.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20160926,1800,,TD,11.5N,140.2W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20160927,0000,,TD,11.6N,140.4W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20160927,0600,,TS,11.9N,140.4W,35,1004,40/40/30/30,0/0/0/0,0/0/0/0
20160927,1200,,TS,12.2N,140.2W,45,999,50/60/30/30,0/0/0/0,0/0/0/0
20160927,1800,,TS,12.6N,139.8W,50,997,50/60/30/30,0/20/0/0,0/0/0/0
20160928,0000,,TS,13.1N,139.4W,55,995,40/50/30/30,20/20/0/0,0/0/0/0
20160928,0600,,HU,13.6N,139.1W,65,992,30/40/30/30,20/20/20/20,10/10/10/0
20160928,1200,,HU,14.1N,138.8W,65,992,30/40/30/30,20/20/20/20,10/10/10/0
20160928,1800,,TS,14.8N,138.7W,60,994,30/40/30/30,20/20/0/0,0/0/0/0
20160929,0000,,TS,15.5N,138.8W,55,997,30/40/30/30,10/10/0/0,0/0/0/0
20160929,0600,,TS,16.0N,139.1W,50,1000,30/30/20/30,10/10/0/0,0/0/0/0
20160929,1200,,TS,16.5N,139.5W,45,1003,30/20/20/30,0/0/0/0,0/0/0/0
20160929,1800,,TS,16.9N,139.9W,40,1006,30/0/0/30,0/0/0/0,0/0/0/0
20160930,0000,,TS,17.5N,140.6W,35,1008,30/0/0/30,0/0/0/0,0/0/0/0
20160930,0600,,TD,17.9N,141.3W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20160930,1200,,LO,18.2N,142.1W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20160930,1800,,LO,18.5N,142.9W,30,1011,0/0/0/0,0/0/0/0,0/0/0/0
20161001,0000,,LO,18.6N,144.0W,30,1012,0/0/0/0,0/0/0/0,0/0/0/0
20161001,0600,,LO,18.7N,145.3W,25,1013,0/0/0/0,0/0/0/0,0/0/0/0
20161001,1200,,LO,18.7N,146.9W,25,1013,0/0/0/0,0/0/0/0,0/0/0/0
20161001,1800,,LO,18.5N,148.8W,25,1013,0/0/0/0,0/0/0/0,0/0/0/0
20161002,0000,,LO,17.7N,150.5W,25,1013,0/0/0/0,0/0/0/0,0/0/0/0
20161002,0600,,LO,17.1N,152.1W,25,1013,0/0/0/0,0/0/0/0,0/0/0/0
20161002,1200,,LO,16.6N,153.6W,25,1013,0/0/0/0,0/0/0/0,0/0/0/0
20161002,1800,,LO,16.0N,155.0W,25,1014,0/0/0/0,0/0/0/0,0/0/0/0
20161003,0000,,LO,15.4N,156.5W,25,1014,0/0/0/0,0/0/0/0,0/0/0/0
