date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20170716,1800,,LO,12.5N,114.9W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20170717,0000,,LO,12.8N,115.4W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20170717,0600,,TD,13.1N,115.9W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20170717,1200,,TD,13.4N,116.3W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20170717,1800,,TD,13.7N,116.8W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170718,0000,,TD,14.1N,117.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170718,0600,,TD,14.5N,118.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170718,1200,,TD,14.8N,118.6W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170718,1800,,TD,14.9N,119.2W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170719,0000,,TD,14.9N,119.9W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170719,0600,,TD,14.7N,120.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170719,1200,,TD,14.5N,121.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20170719,1800,,TD,14.3N,121.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20170720,0000,,TD,14.1N,122.0W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20170720,0600,,LO,13.9N,122.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20170720,1200,,LO,13.7N,123.0W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20170720,1800,,LO,13.4N,123.7W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20170721,0000,,LO,12.9N,124.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
