date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20170811,1200,,TD,18.5N,106.7W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20170811,1800,,TS,18.8N,108.0W,35,1003,40/40/0/0,0/0/0/0,0/0/0/0
20170812,0000,,TS,19.1N,109.2W,35,1003,40/40/0/0,0/0/0/0,0/0/0/0
20170812,0600,,TS,19.6N,110.2W,35,1003,40/40/0/0,0/0/0/0,0/0/0/0
20170812,1200,,TS,20.0N,111.3W,35,1003,40/40/0/0,0/0/0/0,0/0/0/0
20170812,1800,,TD,20.2N,112.4W,30,1004,0/0/0/0,0/0/0/0,0/0/0/0
20170813,0000,,TD,20.4N,113.7W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20170813,0600,,TD,20.4N,115.1W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20170813,1200,,TD,20.4N,116.6W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20170813,1800,,LO,20.4N,118.0W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20170814,0000,,LO,20.4N,119.3W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20170814,0600,,LO,20.4N,120.5W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20170814,1200,,LO,20.3N,121.6W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170814,1800,,LO,20.3N,122.7W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170815,0000,,LO,20.2N,123.8W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170815,0600,,LO,20.0N,125.0W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170815,1200,,LO,19.8N,126.1W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20170815,1800,,LO,19.6N,127.3W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20170816,0000,,LO,19.4N,128.4W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20170816,0600,,LO,19.2N,129.5W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20170816,1200,,LO,19.0N,130.6W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20170816,1800,,LO,18.8N,131.7W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20170817,0000,,LO,18.6N,132.7W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
