date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20170922,0000,,LO,16.7N,103.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20170922,0600,,LO,16.8N,103.6W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20170922,1200,,LO,16.9N,103.9W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20170922,1800,,LO,17.1N,104.2W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20170923,0000,,LO,17.3N,104.4W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20170923,0600,,LO,17.6N,104.7W,25,1005,0/0/0/0,0/0/0/0,0/0/0/0
20170923,1200,,TD,17.9N,105.0W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20170923,1800,,TS,18.2N,105.2W,35,1004,30/30/0/0,0/0/0/0,0/0/0/0
20170924,0000,,TS,18.6N,105.4W,35,1003,30/30/0/0,0/0/0/0,0/0/0/0
20170924,0600,,TS,19.2N,105.7W,40,1002,40/40/0/30,0/0/0/0,0/0/0/0
20170924,1200,,TS,20.0N,106.0W,45,1000,40/40/0/30,0/0/0/0,0/0/0/0
20170924,1800,,TS,20.9N,106.3W,45,1000,40/40/0/30,0/0/0/0,0/0/0/0
20170925,0000,,TS,21.8N,106.6W,40,1002,40/40/0/0,0/0/0/0,0/0/0/0
20170925,0600,,TS,22.3N,106.8W,35,1003,40/0/0/0,0/0/0/0,0/0/0/0
20170925,1200,,LO,22.6N,107.0W,25,1004,0/0/0/0,0/0/0/0,0/0/0/0
