date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20180813,1200,,LO,10.9N,114.7W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20180813,1800,,LO,11.0N,115.7W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20180814,0000,,LO,11.1N,116.6W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20180814,0600,,LO,11.1N,117.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20180814,1200,,LO,11.1N,118.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20180814,1800,,LO,11.1N,119.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20180815,0000,,TD,11.0N,120.6W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20180815,0600,,TD,10.8N,121.7W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20180815,1200,,TS,10.7N,122.8W,35,1006,20/0/0/0,0/0/0/0,0/0/0/0
20180815,1800,,TS,10.5N,123.9W,40,1005,0/30/0/0,0/0/0/0,0/0/0/0
20180816,0000,,TS,10.4N,124.9W,45,1003,0/30/0/0,0/0/0/0,0/0/0/0
20180816,0600,,TS,10.4N,125.9W,45,1003,30/30/0/0,0/0/0/0,0/0/0/0
20180816,1200,,TS,10.4N,126.9W,50,1001,40/40/0/20,20/20/0/0,0/0/0/0
20180816,1800,,TS,10.5N,127.9W,55,999,40/40/20/30,20/20/0/0,0/0/0/0
20180817,0000,,HU,11.0N,129.2W,65,992,60/40/20/40,20/20/10/10,15/0/0/0
20180817,0600,,HU,11.2N,130.7W,70,990,80/70/40/50,40/30/10/20,15/0/0/0
20180817,1200,,HU,11.2N,132.1W,85,982,80/70/40/60,40/30/10/20,15/10/0/0
20180817,1800,,HU,11.3N,133.6W,90,977,90/70/40/60,40/30/20/30,20/15/10/15
20180818,0000,,HU,11.6N,134.9W,100,969,90/70/40/60,40/30/20/30,20/15/15/15
20180818,0600,,HU,11.9N,136.2W,115,956,90/70/40/60,40/30/20/30,20/15/15/15
20180818,1200,,HU,12.1N,137.5W,120,950,90/70/40/60,40/30/20/30,20/15/15/15
20180818,1800,,HU,12.4N,138.9W,120,950,90/70/40/60,40/40/20/30,20/20/15/20
20180819,0000,,HU,12.6N,140.3W,115,956,90/70/40/60,40/40/20/30,20/20/15/20
20180819,0600,,HU,12.8N,141.6W,110,961,90/70/40/70,40/40/20/35,20/20/15/20
20180819,1200,,HU,13.0N,142.9W,105,966,90/50/40/70,40/25/25/40,25/15/20/20
20180819,1800,,HU,13.3N,144.1W,105,966,90/40/40/80,40/25/25/40,25/15/20/20
20180820,0000,,HU,13.5N,145.3W,105,966,90/40/40/80,40/25/25/40,25/15/20/20
20180820,0600,,HU,13.6N,146.5W,105,966,90/40/40/80,40/25/25/40,25/15/20/20
20180820,1200,,HU,13.6N,147.7W,105,966,90/40/40/80,40/25/25/40,25/15/20/25
20180820,1800,,HU,13.6N,148.7W,110,964,90/50/50/90,45/35/35/45,25/20/20/25
20180821,0000,,HU,13.7N,149.8W,115,959,90/60/60/90,50/35/35/50,25/25/20/25
20180821,0600,,HU,13.9N,150.8W,120,953,90/60/60/90,50/35/35/50,30/25/20/25
20180821,1200,,HU,14.0N,151.8W,130,941,90/70/60/90,50/35/35/50,30/25/20/30
20180821,1800,,HU,14.1N,152.7W,130,941,90/70/60/90,50/35/35/50,30/25/20/25
20180822,0000,,HU,14.3N,153.6W,140,929,90/70/60/90,50/35/35/50,30/25/20/30
20180822,0600,,HU,14.5N,154.3W,140,926,90/70/60/90,50/35/35/50,30/25/20/30
20180822,1200,,HU,14.8N,155.0W,130,938,90/70/60/90,50/35/35/50,30/25/20/30
20180822,1800,,HU,15.1N,155.6W,130,938,90/70/60/90,50/35/35/50,30/25/20/30
20180823,0000,,HU,15.6N,156.3W,125,942,90/70/60/90,50/35/35/50,30/25/20/30
20180823,0600,,HU,16.0N,156.8W,125,942,90/70/60/90,50/35/35/50,30/25/20/30
20180823,1200,,HU,16.5N,157.2W,120,946,90/70/60/90,50/35/35/50,30/25/20/30
20180823,1800,,HU,17.0N,157.5W,115,950,90/60/60/90,50/35/35/50,25/20/20/25
20180824,0000,,HU,17.5N,157.8W,105,959,90/60/50/90,45/30/30/45,25/20/20/25
20180824,0600,,HU,17.9N,158.0W,100,962,90/50/40/90,40/30/25/40,25/20/15/25
20180824,1200,,HU,18.3N,158.1W,90,969,100/50/40/90,40/25/20/40,25/20/15/25
20180824,1800,,HU,18.6N,158.1W,80,977,100/50/40/90,40/25/20/40,20/15/0/20
20180825,0000,,HU,18.9N,158.2W,65,987,100/50/40/90,35/20/15/30,15/0/0/15
20180825,0600,,TS,19.2N,158.3W,55,995,90/45/35/80,30/10/0/25,0/0/0/0
20180825,1200,,TS,19.4N,158.5W,50,998,85/40/30/80,15/0/0/15,0/0/0/0
20180825,1800,,TS,19.5N,159.1W,45,1001,80/35/25/75,0/0/0/0,0/0/0/0
20180826,0000,,TS,19.5N,159.8W,40,1003,75/30/20/70,0/0/0/0,0/0/0/0
20180826,0600,,TS,19.4N,160.7W,35,1005,60/20/0/50,0/0/0/0,0/0/0/0
20180826,1200,,TD,19.3N,161.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180826,1800,,TD,19.1N,162.4W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180827,0000,,TD,18.9N,163.3W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180827,0600,,TD,18.8N,164.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180827,1200,,TS,18.7N,165.0W,35,1005,60/0/0/60,0/0/0/0,0/0/0/0
20180827,1800,,TS,18.5N,165.9W,35,1005,50/0/0/50,0/0/0/0,0/0/0/0
20180828,0000,,TD,18.4N,166.4W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180828,0600,,TD,18.4N,167.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180828,1200,,TD,18.5N,167.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180828,1800,,TD,18.6N,168.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180829,0000,,LO,19.1N,168.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20180829,0600,,LO,19.5N,168.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
