date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20180827,1800,,LO,14.6N,109.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20180828,0000,,LO,15.3N,110.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20180828,0600,,LO,16.0N,111.0W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180828,1200,,TD,16.7N,111.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180828,1800,,TS,17.2N,112.5W,35,1004,40/30/0/0,0/0/0/0,0/0/0/0
20180829,0000,,TS,17.4N,113.4W,45,1000,40/30/20/40,0/0/0/0,0/0/0/0
20180829,0600,,TS,17.5N,114.3W,50,999,40/30/20/40,20/10/0/20,0/0/0/0
20180829,1200,,TS,17.6N,115.1W,55,995,40/30/20/40,20/10/0/20,0/0/0/0
20180829,1800,,HU,17.7N,115.7W,65,988,60/50/40/50,30/20/20/20,15/0/0/10
20180830,0000,,HU,17.7N,116.3W,75,982,60/50/40/50,30/30/20/20,15/0/0/10
20180830,0600,,HU,17.7N,117.0W,95,968,60/50/50/60,30/30/30/30,15/10/10/15
20180830,1200,,HU,17.7N,117.7W,125,941,70/60/50/70,40/30/30/40,20/20/15/20
20180830,1800,,HU,17.6N,118.4W,130,937,70/60/50/70,40/30/30/40,20/20/15/20
20180831,0000,,HU,17.4N,119.2W,130,937,70/70/50/70,40/40/30/40,20/20/15/20
20180831,0600,,HU,17.1N,119.9W,125,940,80/80/70/80,40/40/40/40,20/20/15/20
20180831,1200,,HU,16.8N,120.5W,115,949,80/80/70/80,40/40/40/40,20/20/15/20
20180831,1800,,HU,16.6N,121.1W,110,953,90/80/70/90,50/40/30/50,30/25/20/30
20180901,0000,,HU,16.4N,121.8W,100,961,90/80/70/90,50/40/30/50,30/25/20/30
20180901,0600,,HU,16.3N,122.5W,90,970,90/80/70/90,50/40/30/50,25/25/20/25
20180901,1200,,HU,16.2N,123.3W,90,970,90/80/70/90,50/40/30/50,25/25/20/25
20180901,1800,,HU,16.2N,124.3W,90,970,90/80/70/90,50/40/30/50,25/25/20/25
20180902,0000,,HU,16.5N,125.5W,90,970,90/80/70/90,50/40/30/50,25/25/20/25
20180902,0600,,HU,16.9N,126.7W,95,966,90/80/70/90,50/40/40/50,30/25/20/30
20180902,1200,,HU,17.4N,128.3W,115,950,90/80/70/90,50/40/40/50,30/25/20/30
20180902,1800,,HU,17.9N,130.0W,120,947,90/80/70/90,50/40/40/50,30/25/20/30
20180903,0000,,HU,18.4N,131.8W,115,950,100/80/70/90,50/40/40/50,30/25/20/30
20180903,0600,,HU,18.8N,133.8W,110,954,100/80/70/90,50/40/40/50,30/25/20/30
20180903,1200,,HU,19.1N,135.7W,100,963,100/80/70/100,50/40/40/50,30/25/20/30
20180903,1800,,HU,19.4N,137.6W,90,970,100/80/70/100,50/40/40/50,30/25/20/30
20180904,0000,,HU,19.7N,139.4W,80,978,100/80/70/100,50/40/40/50,30/25/20/30
20180904,0600,,HU,19.9N,141.0W,75,982,100/70/70/100,40/20/30/40,20/0/10/20
20180904,1200,,HU,19.9N,142.6W,75,982,100/70/70/100,40/20/30/40,20/0/10/20
20180904,1800,,HU,19.8N,143.9W,70,984,100/70/70/100,40/20/30/40,20/0/10/20
20180905,0000,,HU,19.8N,145.1W,70,984,90/60/60/90,40/25/25/40,20/10/10/20
20180905,0600,,HU,19.6N,146.1W,80,978,100/65/70/100,45/40/35/45,25/25/20/25
20180905,1200,,HU,19.5N,147.2W,100,962,100/65/70/100,50/40/35/45,25/25/20/25
20180905,1800,,HU,19.6N,148.0W,105,960,90/70/60/100,50/40/40/50,25/25/20/25
20180906,0000,,HU,19.8N,148.8W,105,960,90/70/60/100,50/40/40/50,25/25/20/25
20180906,0600,,HU,20.1N,149.5W,105,958,90/70/60/90,50/40/35/50,25/25/20/25
20180906,1200,,HU,20.5N,150.2W,100,960,90/70/60/90,50/40/35/50,25/25/20/25
20180906,1800,,HU,21.0N,150.6W,95,963,90/70/60/90,50/40/35/50,25/25/20/25
20180907,0000,,HU,21.6N,151.1W,85,970,90/70/60/90,50/40/35/50,25/25/20/25
20180907,0600,,HU,22.1N,151.6W,75,976,90/70/60/90,50/40/35/50,25/25/20/25
20180907,1200,,HU,22.8N,152.1W,65,983,100/70/50/90,50/40/35/50,25/25/20/25
20180907,1800,,TS,23.7N,152.6W,60,989,110/80/50/100,50/30/20/50,0/0/0/0
20180908,0000,,TS,24.6N,153.1W,60,991,120/80/50/110,60/50/20/40,0/0/0/0
20180908,0600,,TS,25.1N,153.5W,55,995,120/80/50/110,50/40/10/30,0/0/0/0
20180908,1200,,TS,25.7N,154.1W,50,998,120/70/50/110,40/0/0/20,0/0/0/0
20180908,1800,,TS,26.4N,154.4W,45,1000,120/90/50/90,0/0/0/0,0/0/0/0
20180909,0000,,EX,27.1N,154.1W,45,1000,120/90/50/90,0/0/0/0,0/0/0/0
20180909,0600,,EX,27.9N,153.9W,45,1000,120/90/20/40,0/0/0/0,0/0/0/0
20180909,1200,,EX,28.6N,153.9W,45,1000,120/90/20/40,0/0/0/0,0/0/0/0
20180909,1800,,EX,29.6N,153.5W,40,1002,120/90/20/40,0/0/0/0,0/0/0/0
20180910,0000,,EX,30.8N,153.2W,40,1002,120/90/20/40,0/0/0/0,0/0/0/0
20180910,0600,,EX,31.9N,152.4W,40,1002,120/90/20/40,0/0/0/0,0/0/0/0
