date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20180907,1200,,LO,14.7N,111.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20180907,1800,,LO,15.0N,112.7W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20180908,0000,,LO,15.3N,113.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20180908,0600,,TD,15.5N,114.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180908,1200,,TD,15.7N,115.4W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180908,1800,,TD,15.8N,116.3W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180909,0000,,TS,16.0N,117.0W,35,1004,40/60/0/40,0/0/0/0,0/0/0/0
20180909,0600,,TS,16.6N,117.6W,35,1004,40/60/0/40,0/0/0/0,0/0/0/0
20180909,1200,,TS,17.3N,118.1W,35,1004,40/60/0/40,0/0/0/0,0/0/0/0
20180909,1800,,TS,18.1N,118.6W,40,1002,80/60/0/40,0/0/0/0,0/0/0/0
20180910,0000,,TS,18.9N,119.1W,40,1003,70/60/0/40,0/0/0/0,0/0/0/0
20180910,0600,,TS,19.7N,119.7W,35,1004,60/60/0/40,0/0/0/0,0/0/0/0
20180910,1200,,TS,20.4N,120.3W,35,1004,60/60/0/40,0/0/0/0,0/0/0/0
20180910,1800,,TS,20.9N,120.9W,35,1004,60/60/0/0,0/0/0/0,0/0/0/0
20180911,0000,,TS,21.4N,121.7W,35,1004,60/60/0/0,0/0/0/0,0/0/0/0
20180911,0600,,TD,21.8N,122.6W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20180911,1200,,TD,22.0N,123.6W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20180911,1800,,TD,22.2N,124.7W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20180912,0000,,LO,22.3N,126.0W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20180912,0600,,LO,22.4N,127.0W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20180912,1200,,LO,22.5N,128.0W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180912,1800,,LO,22.5N,128.9W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180913,0000,,LO,22.5N,129.8W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180913,0600,,LO,22.5N,130.6W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180913,1200,,LO,22.5N,131.4W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180913,1800,,LO,22.4N,132.1W,25,1006,0/0/0/0,0/0/0/0,0/0/0/0
20180914,0000,,LO,22.0N,132.6W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20180914,0600,,LO,21.6N,132.9W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20180914,1200,,LO,21.2N,133.1W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
20180914,1800,,LO,20.8N,133.3W,20,1007,0/0/0/0,0/0/0/0,0/0/0/0
