date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20180929,1200,,TS,12.0N,101.3W,35,1005,90/90/0/0,0/0/0/0,0/0/0/0
20180929,1800,,TS,12.0N,102.2W,35,1005,110/110/0/0,0/0/0/0,0/0/0/0
20180930,0000,,TS,12.0N,103.1W,40,1003,110/110/0/0,0/0/0/0,0/0/0/0
20180930,0600,,TS,11.9N,103.9W,45,1001,110/110/0/0,0/0/0/0,0/0/0/0
20180930,1200,,TS,11.7N,104.8W,50,999,110/110/0/0,30/30/0/0,0/0/0/0
20180930,1800,,TS,11.6N,105.8W,55,997,110/110/0/60,30/30/0/0,0/0/0/0
20181001,0000,,TS,11.5N,106.9W,55,997,110/110/0/60,30/30/0/0,0/0/0/0
20181001,0600,,TS,11.4N,108.0W,55,997,110/110/0/60,30/30/0/30,0/0/0/0
20181001,1200,,TS,11.3N,109.1W,60,994,110/110/30/60,30/30/0/30,0/0/0/0
20181001,1800,,TS,11.1N,110.3W,60,994,110/110/30/60,30/30/0/30,0/0/0/0
20181002,0000,,HU,10.9N,111.5W,65,991,110/110/30/60,30/30/0/30,20/0/0/0
20181002,0600,,HU,10.7N,112.5W,75,985,110/110/60/90,40/40/20/40,20/20/10/20
20181002,1200,,HU,10.8N,113.5W,90,973,110/110/60/90,40/40/20/40,20/20/10/20
20181002,1800,,HU,11.1N,114.5W,105,960,110/130/60/90,50/50/20/40,25/25/15/25
20181003,0000,,HU,11.5N,115.4W,105,960,110/130/60/90,60/60/30/40,30/30/15/25
20181003,0600,,HU,12.0N,116.2W,105,959,120/130/80/100,70/70/40/50,40/40/20/25
20181003,1200,,HU,12.5N,116.9W,105,959,120/130/80/100,70/70/40/50,40/40/20/25
20181003,1800,,HU,12.9N,117.5W,110,951,120/130/120/100,70/70/40/50,40/40/20/25
20181004,0000,,HU,13.5N,118.0W,115,947,120/130/120/100,70/70/40/50,40/40/30/25
20181004,0600,,HU,14.1N,118.5W,120,942,120/130/130/100,70/70/70/60,40/40/40/30
20181004,1200,,HU,14.7N,119.0W,120,942,120/130/130/100,70/70/70/60,40/40/40/30
20181004,1800,,HU,15.3N,119.6W,120,942,120/130/130/100,70/70/70/60,40/40/40/30
20181005,0000,,HU,15.7N,120.2W,110,951,120/130/130/100,70/70/70/60,40/40/40/30
20181005,0600,,HU,15.9N,120.8W,100,958,150/140/120/110,70/70/70/60,40/40/40/30
20181005,1200,,HU,15.9N,121.4W,100,958,150/140/120/110,70/70/70/60,40/40/40/30
20181005,1800,,HU,15.7N,122.0W,105,955,150/120/110/110,70/60/60/70,40/30/30/40
20181006,0000,,HU,15.4N,122.5W,110,950,150/110/110/120,70/60/60/70,40/40/40/40
20181006,0600,,HU,15.0N,123.1W,110,950,150/110/110/140,60/50/50/60,35/30/30/35
20181006,1200,,HU,14.8N,123.7W,110,950,140/120/110/160,60/50/50/60,30/30/30/35
20181006,1800,,HU,14.7N,124.4W,110,951,140/120/110/170,60/50/50/70,30/30/30/35
20181007,0000,,HU,14.6N,125.1W,105,955,140/120/110/170,60/50/50/70,30/30/30/35
20181007,0600,,HU,14.5N,125.8W,100,959,150/120/110/170,70/60/60/70,45/40/40/40
20181007,1200,,HU,14.5N,126.5W,90,966,160/120/120/160,80/70/70/80,60/50/50/60
20181007,1800,,HU,14.5N,127.2W,85,970,160/120/120/160,80/70/70/80,60/50/50/60
20181008,0000,,HU,14.7N,127.8W,80,974,160/120/120/160,80/70/70/80,60/50/50/60
20181008,0600,,HU,14.9N,128.2W,75,978,140/120/120/140,80/70/70/80,60/50/50/60
20181008,1200,,HU,15.2N,128.5W,75,978,130/120/110/130,80/70/60/80,60/50/50/60
20181008,1800,,HU,15.5N,128.6W,75,978,110/120/110/110,70/70/60/70,50/50/50/50
20181009,0000,,HU,15.8N,128.5W,70,981,110/120/110/110,70/70/60/70,50/50/50/50
20181009,0600,,HU,16.1N,128.2W,70,981,110/120/110/110,70/70/60/70,50/50/50/50
20181009,1200,,HU,16.4N,127.7W,65,985,110/120/110/110,70/70/60/70,50/50/0/50
20181009,1800,,TS,16.7N,127.0W,60,988,110/120/110/110,70/70/60/70,0/0/0/0
20181010,0000,,TS,17.0N,126.2W,60,989,110/120/110/110,70/70/60/70,0/0/0/0
20181010,0600,,TS,17.4N,125.2W,55,992,110/120/110/110,70/70/60/70,0/0/0/0
20181010,1200,,TS,17.9N,124.3W,55,992,110/120/110/110,70/70/60/70,0/0/0/0
20181010,1800,,TS,18.6N,123.3W,55,992,110/120/110/110,70/70/60/70,0/0/0/0
20181011,0000,,TS,19.4N,122.2W,55,992,110/120/110/110,70/70/60/70,0/0/0/0
20181011,0600,,TS,20.4N,120.9W,55,992,110/120/110/110,70/70/60/70,0/0/0/0
20181011,1200,,TS,21.5N,119.5W,55,992,110/120/110/110,70/70/60/70,0/0/0/0
20181011,1800,,TS,22.8N,117.9W,55,992,110/120/110/110,70/70/60/70,0/0/0/0
20181012,0000,,TS,24.1N,116.3W,55,992,110/120/110/110,70/70/60/0,0/0/0/0
20181012,0600,,TS,25.3N,114.7W,55,992,110/120/110/110,60/60/0/0,0/0/0/0
20181012,1200,L,TS,26.6N,113.0W,45,994,110/120/80/80,0/0/0/0,0/0/0/0
20181012,1800,,TD,28.1N,111.2W,30,998,0/0/0/0,0/0/0/0,0/0/0/0
