date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20181014,1200,,TD,17.0N,102.8W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20181014,1800,,TD,17.2N,103.4W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20181015,0000,,TD,17.3N,103.8W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20181015,0600,,TS,17.6N,104.1W,35,1003,0/0/30/30,0/0/0/0,0/0/0/0
20181015,1200,,TS,17.9N,104.2W,40,1001,20/20/30/30,0/0/0/0,0/0/0/0
20181015,1800,,TS,18.2N,104.2W,45,1000,20/20/20/20,0/0/0/0,0/0/0/0
20181016,0000,,TS,18.4N,104.3W,55,995,20/20/20/20,10/10/10/10,0/0/0/0
20181016,0600,,TS,18.5N,104.4W,50,998,20/20/20/20,10/10/10/10,0/0/0/0
20181016,1200,,TS,18.7N,104.6W,40,1001,20/20/20/20,0/0/0/0,0/0/0/0
20181016,1800,,TS,18.9N,104.9W,35,1003,20/20/20/20,0/0/0/0,0/0/0/0
