date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20181019,0000,,LO,14.2N,98.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20181019,0600,,LO,14.5N,100.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20181019,1200,,LO,14.7N,101.7W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20181019,1800,,LO,14.8N,102.8W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20181020,0000,,TD,14.8N,103.6W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20181020,0600,,TD,14.7N,104.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20181020,1200,,TS,14.9N,105.1W,35,1005,30/30/0/30,0/0/0/0,0/0/0/0
20181020,1800,,TS,15.1N,105.5W,45,1001,30/30/20/30,0/0/0/0,0/0/0/0
20181021,0000,,TS,15.5N,105.9W,55,996,40/40/30/40,20/20/0/20,0/0/0/0
20181021,0600,,HU,16.0N,106.3W,70,987,40/40/30/30,20/20/10/20,10/10/0/10
20181021,1200,,HU,16.4N,106.6W,85,975,50/50/40/50,30/30/20/30,15/15/10/15
20181021,1800,,HU,16.8N,106.9W,100,962,60/60/40/60,30/30/20/30,15/15/10/15
20181022,0000,,HU,17.5N,107.1W,120,945,80/70/50/70,40/40/20/30,20/20/10/15
20181022,0600,,HU,17.9N,107.1W,140,925,80/80/60/70,40/40/30/30,25/25/15/15
20181022,1200,,HU,18.7N,107.2W,135,928,90/80/60/80,40/40/30/40,25/25/15/20
20181022,1800,,HU,19.4N,107.2W,130,934,110/100/70/80,50/50/40/40,30/30/15/25
20181023,0000,,HU,20.2N,107.2W,120,943,110/100/80/90,50/50/40/50,30/30/20/25
20181023,0600,,HU,20.6N,107.2W,110,952,110/100/80/90,50/50/40/50,30/30/20/25
20181023,1200,,HU,21.1N,107.1W,105,960,110/100/80/90,60/60/40/50,35/35/25/30
20181023,1800,,HU,21.7N,106.7W,100,965,90/100/70/80,50/50/40/40,30/30/25/25
20181024,0000,,HU,22.5N,106.0W,100,968,90/100/70/80,50/50/40/40,30/30/25/25
20181024,0130,L,HU,22.7N,105.8W,100,968,90/100/70/80,50/50/40/40,30/30/25/25
20181024,0600,,TS,23.8N,104.6W,45,990,50/60/60/30,0/0/0/0,0/0/0/0
