date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20191011,1200,,LO,15.4N,161.8W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20191011,1800,,LO,16.6N,162.4W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20191012,0000,,LO,17.6N,162.6W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20191012,0600,,TD,18.6N,163.0W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20191012,1200,,TS,19.6N,163.3W,35,1008,40/20/0/0,0/0/0/0,0/0/0/0
20191012,1800,,TS,20.5N,163.7W,45,1003,50/30/0/40,0/0/0/0,0/0/0/0
20191013,0000,,TS,21.4N,164.1W,40,1005,40/30/0/30,0/0/0/0,0/0/0/0
20191013,0600,,TS,21.9N,165.0W,35,1006,40/30/0/30,0/0/0/0,0/0/0/0
20191013,1200,,TS,22.1N,165.9W,35,1006,40/20/0/20,0/0/0/0,0/0/0/0
20191013,1800,,TD,22.5N,166.6W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20191014,0000,,TD,23.3N,167.5W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20191014,0600,,LO,24.7N,168.0W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20191014,1200,,LO,26.1N,168.3W,30,1010,0/0/0/0,0/0/0/0,0/0/0/0
20191014,1800,,LO,27.5N,168.2W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20191015,0000,,LO,28.5N,168.3W,25,1013,0/0/0/0,0/0/0/0,0/0/0/0
20191015,0600,,LO,29.0N,168.2W,25,1015,0/0/0/0,0/0/0/0,0/0/0/0
20191015,1200,,LO,29.1N,168.6W,25,1017,0/0/0/0,0/0/0/0,0/0/0/0
20191015,1800,,LO,29.4N,168.9W,25,1017,0/0/0/0,0/0/0/0,0/0/0/0
20191016,0000,,LO,29.3N,169.3W,25,1017,0/0/0/0,0/0/0/0,0/0/0/0
20191016,0600,,DB,28.9N,170.0W,15,1018,0/0/0/0,0/0/0/0,0/0/0/0
