date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20190625,1200,,TD,14.6N,103.8W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190625,1800,,TD,15.1N,105.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190626,0000,,TD,15.3N,106.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190626,0600,,TD,15.2N,107.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190626,1200,,TS,14.6N,108.7W,35,1005,30/0/0/0,0/0/0/0,0/0/0/0
20190626,1800,,TS,14.3N,109.7W,40,1004,30/0/0/30,0/0/0/0,0/0/0/0
20190627,0000,,TS,14.5N,110.7W,45,1001,30/0/0/30,0/0/0/0,0/0/0/0
20190627,0600,,TS,15.0N,111.6W,50,999,30/20/0/30,0/0/0/10,0/0/0/0
20190627,1200,,TS,15.6N,112.6W,50,999,30/20/20/30,0/0/0/10,0/0/0/0
20190627,1800,,TS,16.3N,113.7W,55,998,30/20/30/40,0/0/0/20,0/0/0/0
20190628,0000,,HU,17.0N,114.8W,65,992,40/20/30/40,20/10/10/20,0/0/0/10
20190628,0600,,TS,17.8N,116.0W,60,995,50/30/30/40,20/10/10/20,0/0/0/0
20190628,1200,,TS,18.6N,117.1W,55,997,50/30/30/40,20/0/0/20,0/0/0/0
20190628,1800,,TS,19.3N,118.0W,50,999,50/20/20/40,20/0/0/10,0/0/0/0
20190629,0000,,TS,19.8N,118.8W,40,1004,50/20/20/40,0/0/0/0,0/0/0/0
20190629,0600,,LO,20.2N,119.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190629,1200,,LO,20.5N,120.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190629,1800,,LO,20.8N,120.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190630,0000,,LO,21.2N,121.0W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
