date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20190727,1200,,TD,11.2N,122.9W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190727,1800,,TS,11.5N,124.5W,35,1005,20/20/0/0,0/0/0/0,0/0/0/0
20190728,0000,,TS,11.8N,126.1W,35,1005,20/20/0/0,0/0/0/0,0/0/0/0
20190728,0600,,TS,11.9N,127.7W,35,1005,30/0/0/0,0/0/0/0,0/0/0/0
20190728,1200,,TS,11.7N,129.4W,35,1005,30/0/0/0,0/0/0/0,0/0/0/0
20190728,1800,,TS,11.5N,131.0W,40,1004,30/30/30/0,0/0/0/0,0/0/0/0
20190729,0000,,TS,11.6N,132.5W,50,1001,30/40/20/20,20/0/0/0,0/0/0/0
20190729,0600,,TS,11.8N,134.1W,55,999,30/40/20/20,20/20/0/0,0/0/0/0
20190729,1200,,TS,12.1N,135.8W,60,996,60/60/20/20,30/30/0/0,0/0/0/0
20190729,1800,,HU,12.4N,137.6W,65,993,60/60/20/40,30/30/10/10,15/0/0/0
20190730,0000,,HU,12.6N,139.3W,70,990,60/60/20/40,30/30/10/20,15/0/0/0
20190730,0600,,HU,12.9N,140.7W,80,983,75/60/25/70,30/25/10/25,15/0/0/10
20190730,1200,,HU,13.2N,142.2W,100,966,85/65/35/80,35/30/20/35,20/15/10/15
20190730,1800,,HU,13.4N,143.6W,115,952,95/70/45/90,40/35/30/40,20/20/15/20
20190731,0000,,HU,13.8N,144.9W,115,952,95/70/45/90,40/35/30/40,20/20/15/20
20190731,0600,,HU,14.1N,146.0W,110,955,95/70/45/90,40/35/30/40,20/15/10/20
20190731,1200,,HU,14.3N,147.0W,105,958,95/70/45/90,40/35/30/40,20/15/10/20
20190731,1800,,HU,14.6N,148.1W,100,961,90/70/45/90,40/35/30/40,20/15/10/20
20190801,0000,,HU,15.0N,149.2W,90,968,80/65/45/80,35/35/30/35,20/15/10/20
20190801,0600,,HU,15.3N,150.3W,80,978,75/60/45/70,35/30/25/35,20/15/10/20
20190801,1200,,HU,15.5N,151.5W,75,982,70/55/40/65,30/25/15/30,15/10/0/15
20190801,1800,,HU,15.6N,152.7W,70,986,70/50/35/60,30/20/10/25,15/0/0/10
20190802,0000,,TS,15.8N,154.0W,60,993,70/45/20/50,25/10/0/15,0/0/0/0
20190802,0600,,TS,16.1N,155.4W,50,998,70/35/25/45,20/0/0/10,0/0/0/0
20190802,1200,,TS,16.4N,156.8W,45,1001,65/30/0/40,0/0/0/0,0/0/0/0
20190802,1800,,TS,16.6N,158.0W,40,1003,65/25/0/35,0/0/0/0,0/0/0/0
20190803,0000,,TS,16.8N,158.9W,35,1005,60/20/0/30,0/0/0/0,0/0/0/0
20190803,0600,,TS,16.9N,160.5W,35,1005,50/0/0/30,0/0/0/0,0/0/0/0
20190803,1200,,TS,17.0N,162.2W,35,1005,45/0/0/25,0/0/0/0,0/0/0/0
20190803,1800,,TS,17.2N,163.4W,35,1005,40/0/0/20,0/0/0/0,0/0/0/0
20190804,0000,,TD,17.7N,164.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190804,0600,,TD,18.0N,165.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190804,1200,,TD,18.3N,166.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190804,1800,,TD,18.8N,167.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190805,0000,,LO,19.0N,168.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190805,0600,,LO,19.2N,169.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190805,1200,,LO,19.4N,170.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190805,1800,,LO,19.5N,171.3W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190806,0000,,LO,19.5N,172.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190806,0600,,LO,19.5N,173.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190806,1200,,LO,19.5N,174.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190806,1800,,LO,19.6N,174.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190807,0000,,LO,19.7N,175.7W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190807,0600,,LO,19.8N,176.8W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190807,1200,,LO,20.1N,178.0W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190807,1800,,LO,20.7N,179.2W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190808,0000,,LO,21.0N,180.0W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
