date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20190903,0600,,LO,14.6N,134.7W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190903,1200,,LO,14.4N,135.7W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190903,1800,,LO,14.2N,136.8W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190904,0000,,LO,14.0N,138.0W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190904,0600,,LO,13.7N,139.1W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190904,1200,,TD,13.5N,140.0W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190904,1800,,TD,13.1N,140.9W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190905,0000,,TD,12.9N,142.2W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190905,0600,,TD,12.6N,143.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190905,1200,,TD,12.3N,143.8W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190905,1800,,TS,12.1N,144.6W,35,1004,40/40/0/20,0/0/0/0,0/0/0/0
20190906,0000,,TS,11.7N,146.0W,35,1004,40/40/0/20,0/0/0/0,0/0/0/0
20190906,0600,,TS,11.4N,147.4W,35,1005,40/40/0/20,0/0/0/0,0/0/0/0
20190906,1200,,LO,11.4N,148.8W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190906,1800,,LO,11.4N,150.3W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
