date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20190912,0600,,TD,15.2N,109.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190912,1200,,TD,15.6N,110.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190912,1800,,TS,15.9N,111.5W,35,1004,0/0/0/60,0/0/0/0,0/0/0/0
20190913,0000,,TS,16.2N,112.3W,35,1004,0/0/0/60,0/0/0/0,0/0/0/0
20190913,0600,,TS,16.4N,113.1W,35,1004,40/0/0/60,0/0/0/0,0/0/0/0
20190913,1200,,TS,16.6N,114.0W,35,1004,50/0/0/60,0/0/0/0,0/0/0/0
20190913,1800,,TS,16.8N,114.9W,35,1004,50/0/0/60,0/0/0/0,0/0/0/0
20190914,0000,,TS,17.0N,115.8W,40,1003,50/0/0/60,0/0/0/0,0/0/0/0
20190914,0600,,TS,17.2N,116.8W,50,1000,50/40/40/60,20/0/0/20,0/0/0/0
20190914,1200,,TS,17.2N,117.8W,60,992,50/50/40/60,30/20/20/20,0/0/0/0
20190914,1800,,HU,17.0N,118.8W,75,985,50/50/40/60,30/20/20/30,15/10/10/15
20190915,0000,,HU,16.9N,119.6W,95,970,50/50/40/60,30/20/20/30,15/10/10/15
20190915,0600,,HU,16.9N,120.3W,105,958,50/60/50/60,30/30/20/30,15/15/10/15
20190915,1200,,HU,17.0N,120.9W,115,950,50/60/50/60,30/30/20/30,20/20/15/20
20190915,1800,,HU,17.2N,121.6W,115,950,50/50/50/50,30/30/20/30,20/20/15/20
20190916,0000,,HU,17.3N,122.3W,110,954,50/50/50/50,30/30/30/30,20/20/15/20
20190916,0600,,HU,17.3N,122.9W,100,963,50/50/50/50,30/30/30/30,15/15/15/15
20190916,1200,,HU,17.3N,123.4W,90,971,50/50/50/50,30/30/30/30,15/15/15/15
20190916,1800,,HU,17.3N,123.8W,85,974,50/50/50/50,30/30/30/30,15/15/15/15
20190917,0000,,HU,17.3N,124.1W,75,982,50/50/50/50,30/30/30/30,15/15/15/15
20190917,0600,,HU,17.2N,124.4W,70,985,50/50/50/50,30/30/30/30,15/15/15/15
20190917,1200,,TS,17.1N,124.6W,60,990,50/40/40/50,30/30/30/30,0/0/0/0
20190917,1800,,TS,16.9N,124.9W,50,995,40/0/0/40,20/0/0/20,0/0/0/0
20190918,0000,,TS,16.6N,125.3W,45,1002,40/0/0/40,0/0/0/0,0/0/0/0
20190918,0600,,TS,16.3N,125.8W,45,1002,40/0/0/40,0/0/0/0,0/0/0/0
20190918,1200,,TS,16.0N,126.4W,50,1001,40/30/0/40,20/0/0/0,0/0/0/0
20190918,1800,,TS,15.8N,127.0W,55,998,50/40/20/40,20/0/0/20,0/0/0/0
20190919,0000,,TS,15.8N,127.5W,55,998,50/50/20/40,20/0/0/20,0/0/0/0
20190919,0600,,TS,15.8N,128.0W,55,998,50/50/20/40,20/0/0/20,0/0/0/0
20190919,1200,,TS,15.9N,128.5W,50,1000,40/40/20/40,20/0/0/20,0/0/0/0
20190919,1800,,TS,16.1N,129.1W,45,1002,30/30/20/30,0/0/0/0,0/0/0/0
20190920,0000,,TS,16.4N,129.6W,45,1002,30/30/20/30,0/0/0/0,0/0/0/0
20190920,0600,,TS,16.9N,129.9W,45,1002,30/30/20/30,0/0/0/0,0/0/0/0
20190920,1200,,TS,17.4N,130.0W,50,999,40/30/20/30,20/0/0/0,0/0/0/0
20190920,1800,,TS,17.8N,130.1W,50,999,40/30/20/40,20/0/0/0,0/0/0/0
20190921,0000,,TS,18.1N,130.2W,55,996,40/30/20/40,20/20/0/0,0/0/0/0
20190921,0600,,TS,18.3N,130.5W,55,996,40/30/30/50,20/20/0/0,0/0/0/0
20190921,1200,,TS,18.3N,130.9W,50,999,40/30/30/50,20/0/0/0,0/0/0/0
20190921,1800,,TS,18.2N,131.4W,45,1003,40/0/20/50,0/0/0/0,0/0/0/0
20190922,0000,,TS,17.8N,132.0W,40,1005,40/0/20/40,0/0/0/0,0/0/0/0
20190922,0600,,TS,17.3N,132.6W,35,1006,0/0/0/20,0/0/0/0,0/0/0/0
20190922,1200,,TS,16.7N,133.1W,35,1006,0/0/0/20,0/0/0/0,0/0/0/0
20190922,1800,,TS,16.1N,133.6W,35,1006,0/0/0/20,0/0/0/0,0/0/0/0
20190923,0000,,TS,15.6N,134.1W,35,1006,20/0/0/20,0/0/0/0,0/0/0/0
20190923,0600,,TS,15.4N,134.9W,35,1006,30/0/0/30,0/0/0/0,0/0/0/0
20190923,1200,,TS,15.5N,135.7W,45,1002,30/20/20/30,0/0/0/0,0/0/0/0
20190923,1800,,TS,15.8N,136.5W,50,1000,50/20/20/40,20/0/0/20,0/0/0/0
20190924,0000,,TS,16.4N,137.1W,50,1000,70/20/20/40,20/0/0/20,0/0/0/0
20190924,0600,,TS,17.0N,137.7W,45,1002,70/20/20/40,0/0/0/0,0/0/0/0
20190924,1200,,TS,17.4N,138.4W,40,1004,60/0/0/40,0/0/0/0,0/0/0/0
20190924,1800,,LO,18.0N,139.3W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190925,0000,,LO,18.7N,140.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190925,0600,,LO,19.3N,140.8W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20190925,1200,,LO,19.2N,141.8W,25,1011,0/0/0/0,0/0/0/0,0/0/0/0
20190925,1800,,LO,19.1N,142.6W,25,1012,0/0/0/0,0/0/0/0,0/0/0/0
20190926,0000,,LO,19.1N,143.5W,25,1012,0/0/0/0,0/0/0/0,0/0/0/0
20190926,0600,,LO,18.9N,144.4W,20,1013,0/0/0/0,0/0/0/0,0/0/0/0
20190926,1200,,LO,18.6N,145.2W,20,1013,0/0/0/0,0/0/0/0,0/0/0/0
20190926,1800,,LO,18.7N,146.0W,20,1014,0/0/0/0,0/0/0/0,0/0/0/0
