date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20190916,1200,,LO,9.9N,107.0W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190916,1800,,LO,10.0N,107.3W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190917,0000,,LO,10.3N,107.6W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190917,0600,,LO,10.8N,107.9W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190917,1200,,TD,11.5N,108.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190917,1800,,TD,12.2N,108.4W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20190918,0000,,TS,12.9N,108.9W,35,1004,30/30/0/0,0/0/0/0,0/0/0/0
20190918,0600,,TS,13.5N,109.7W,45,1001,40/40/0/0,0/0/0/0,0/0/0/0
20190918,1200,,TS,14.0N,110.6W,55,998,50/50/20/40,20/20/0/0,0/0/0/0
20190918,1800,,TS,14.4N,111.4W,60,996,50/50/20/40,20/20/0/20,0/0/0/0
20190919,0000,,TS,15.0N,111.8W,60,995,40/40/20/40,20/20/0/20,0/0/0/0
20190919,0600,,TS,15.7N,111.8W,55,995,30/40/30/30,20/20/0/0,0/0/0/0
20190919,1200,,TS,16.2N,111.5W,55,995,30/40/30/30,20/20/0/0,0/0/0/0
20190919,1800,,TS,16.6N,111.1W,55,995,30/50/40/30,0/20/0/0,0/0/0/0
20190920,0000,,TS,17.0N,110.7W,55,994,30/60/50/30,0/20/20/0,0/0/0/0
20190920,0600,,TS,17.3N,110.4W,55,993,40/80/60/30,0/30/20/0,0/0/0/0
20190920,1200,,TS,17.6N,110.1W,55,992,50/90/70/40,0/30/20/0,0/0/0/0
20190920,1800,,TS,17.8N,110.0W,55,991,60/100/70/40,30/30/0/0,0/0/0/0
20190921,0000,,TS,18.1N,110.1W,55,991,60/100/70/50,30/30/0/0,0/0/0/0
20190921,0600,,TS,18.4N,110.2W,50,995,70/90/80/50,30/30/0/0,0/0/0/0
20190921,1200,,TS,18.8N,110.3W,45,998,60/90/80/60,0/0/0/0,0/0/0/0
20190921,1800,,TS,19.3N,110.4W,40,1002,60/70/70/50,0/0/0/0,0/0/0/0
20190922,0000,,TS,20.0N,110.6W,35,1004,60/60/50/50,0/0/0/0,0/0/0/0
20190922,0600,,TD,20.7N,111.0W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20190922,1200,,TD,21.5N,111.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190922,1800,,TD,22.3N,112.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190923,0000,,LO,23.1N,112.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20190923,0600,,LO,23.9N,113.3W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190923,1200,,LO,24.6N,114.0W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190923,1800,,LO,25.1N,114.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20190924,0000,,LO,25.7N,114.6W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190924,0600,,LO,25.9N,114.4W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20190924,1200,,LO,26.0N,114.1W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20190924,1800,,LO,26.0N,113.9W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
