date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20200912,1800,,TD,15.8N,112.0W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20200913,0000,,TD,16.4N,112.6W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20200913,0600,,TS,17.0N,113.4W,35,1003,0/0/80/0,0/0/0/0,0/0/0/0
20200913,1200,,TS,17.4N,114.5W,40,1001,0/50/100/0,0/0/0/0,0/0/0/0
20200913,1800,,TS,17.6N,115.6W,40,1001,30/100/130/0,0/0/0/0,0/0/0/0
20200914,0000,,TS,17.7N,116.5W,40,1001,30/100/130/0,0/0/0/0,0/0/0/0
20200914,0600,,TS,17.8N,117.3W,40,1001,30/100/130/0,0/0/0/0,0/0/0/0
20200914,1200,,TS,17.9N,118.0W,40,1001,50/100/130/0,0/0/0/0,0/0/0/0
20200914,1800,,TS,18.2N,118.7W,45,998,80/150/150/0,0/0/0/0,0/0/0/0
20200915,0000,,TS,18.7N,119.3W,50,996,80/150/150/50,40/0/0/0,0/0/0/0
20200915,0600,,TS,19.3N,120.1W,50,996,80/120/120/50,40/0/0/0,0/0/0/0
20200915,1200,,TS,20.0N,120.9W,50,996,80/90/90/50,40/0/0/0,0/0/0/0
20200915,1800,,TS,20.6N,121.7W,50,998,80/90/60/50,40/20/20/0,0/0/0/0
20200916,0000,,TS,21.3N,122.5W,50,998,80/60/50/50,40/20/20/40,0/0/0/0
20200916,0600,,TS,21.9N,123.1W,40,1002,80/0/0/60,0/0/0/0,0/0/0/0
20200916,1200,,TS,22.4N,123.6W,35,1004,80/0/0/60,0/0/0/0,0/0/0/0
20200916,1800,,LO,22.8N,124.1W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20200917,0000,,LO,23.1N,124.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20200917,0600,,LO,23.3N,125.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20200917,1200,,LO,23.5N,125.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20200917,1800,,LO,23.6N,126.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20200918,0000,,LO,23.6N,126.5W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20200918,0600,,LO,23.6N,126.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
