date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20201004,1800,,LO,11.1N,104.2W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201005,0000,,LO,11.2N,104.6W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201005,0600,,TD,11.4N,105.0W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20201005,1200,,TD,11.9N,105.2W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20201005,1800,,TS,12.5N,105.3W,35,1005,20/20/0/0,0/0/0/0,0/0/0/0
20201006,0000,,TS,13.2N,105.6W,40,1004,20/20/0/0,0/0/0/0,0/0/0/0
20201006,0600,,TS,13.6N,106.1W,45,1002,20/20/20/20,0/0/0/0,0/0/0/0
20201006,1200,,TS,13.9N,106.4W,50,1000,20/20/20/20,10/10/0/0,0/0/0/0
20201006,1800,,TS,14.3N,106.6W,45,1002,20/20/20/30,0/0/0/0,0/0/0/0
20201007,0000,,TS,14.2N,106.9W,40,1003,20/20/20/30,0/0/0/0,0/0/0/0
20201007,0600,,TS,14.0N,107.1W,35,1005,0/0/20/20,0/0/0/0,0/0/0/0
20201007,1200,,TS,13.8N,107.0W,35,1005,0/0/20/20,0/0/0/0,0/0/0/0
20201007,1800,,TS,13.5N,107.0W,35,1005,0/0/20/20,0/0/0/0,0/0/0/0
20201008,0000,,TD,13.3N,106.8W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20201008,0600,,TD,13.2N,106.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201008,1200,,TD,13.2N,106.2W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201008,1800,,TD,13.1N,106.1W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201009,0000,,TD,13.0N,106.0W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201009,0600,,TD,13.1N,105.9W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201009,1200,,TD,13.3N,106.0W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201009,1800,,TD,13.4N,106.2W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201010,0000,,DB,13.5N,106.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20201010,0600,,DB,13.7N,106.5W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20201010,1200,,DB,14.1N,106.5W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20201010,1800,,DB,14.7N,106.3W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20201011,0000,,DB,15.3N,106.3W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20201011,0600,,DB,16.0N,106.6W,20,1008,0/0/0/0,0/0/0/0,0/0/0/0
20201011,1200,,DB,16.7N,107.0W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201011,1800,,DB,17.2N,107.5W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201012,0000,,DB,17.3N,107.9W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201012,0600,,DB,17.3N,108.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201012,1200,,DB,17.4N,108.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201012,1800,,DB,17.5N,108.8W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201013,0000,,DB,17.7N,109.3W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201013,0600,,DB,17.9N,109.8W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201013,1200,,DB,18.3N,110.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201013,1800,,TD,19.3N,111.3W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20201014,0000,,TS,20.5N,112.2W,35,1005,60/0/0/0,0/0/0/0,0/0/0/0
20201014,0600,,TS,21.8N,113.1W,40,1004,60/50/0/0,0/0/0/0,0/0/0/0
20201014,1200,,TS,23.1N,114.0W,40,1004,60/50/0/0,0/0/0/0,0/0/0/0
20201014,1800,,TS,24.3N,114.8W,35,1005,30/0/0/0,0/0/0/0,0/0/0/0
20201015,0000,,LO,25.0N,115.3W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20201015,0600,,LO,25.6N,115.7W,20,1011,0/0/0/0,0/0/0/0,0/0/0/0
