date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20201117,1200,,LO,14.7N,111.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20201117,1800,,TD,15.0N,112.9W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201118,0000,,TS,15.4N,113.8W,35,1006,30/0/0/0,0/0/0/0,0/0/0/0
20201118,0600,,TS,15.7N,114.7W,35,1005,30/0/0/0,0/0/0/0,0/0/0/0
20201118,1200,,TS,16.0N,115.6W,40,1004,30/20/0/0,0/0/0/0,0/0/0/0
20201118,1800,,TS,16.4N,116.7W,40,1004,30/20/0/0,0/0/0/0,0/0/0/0
20201119,0000,,TS,16.8N,117.8W,40,1004,30/20/0/0,0/0/0/0,0/0/0/0
20201119,0600,,TS,17.0N,118.8W,35,1005,30/0/0/0,0/0/0/0,0/0/0/0
20201119,1200,,TD,17.0N,119.8W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201119,1800,,LO,16.9N,120.8W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20201120,0000,,LO,16.8N,121.7W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20201120,0600,,LO,16.7N,122.6W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20201120,1200,,LO,16.7N,123.7W,30,1009,0/0/0/0,0/0/0/0,0/0/0/0
20201120,1800,,LO,16.6N,124.8W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20201121,0000,,LO,16.4N,126.0W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
