date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20210617,1800,,LO,14.0N,99.7W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20210618,0000,,LO,14.2N,100.4W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20210618,0600,,TD,14.4N,101.1W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20210618,1200,,TS,14.7N,101.7W,35,1004,120/0/0/60,0/0/0/0,0/0/0/0
20210618,1800,,TS,15.3N,102.2W,40,1000,140/0/0/60,0/0/0/0,0/0/0/0
20210619,0000,,TS,16.0N,102.6W,45,998,120/0/0/60,0/0/0/0,0/0/0/0
20210619,0600,,TS,16.8N,103.1W,50,995,100/50/30/70,50/0/0/0,0/0/0/0
20210619,1200,,TS,17.9N,103.5W,60,989,80/80/50/70,50/50/0/0,0/0/0/0
20210619,1500,L,TS,18.6N,103.7W,60,989,80/80/50/70,50/50/0/0,0/0/0/0
20210619,1800,,TS,19.4N,103.9W,50,997,50/70/60/40,0/40/0/0,0/0/0/0
20210620,0000,,TD,21.4N,104.1W,30,1001,0/0/0/0,0/0/0/0,0/0/0/0
