date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20210625,0600,,TS,15.2N,101.3W,35,1006,60/60/0/0,0/0/0/0,0/0/0/0
20210625,1200,,TS,15.5N,102.1W,40,1004,90/60/0/0,0/0/0/0,0/0/0/0
20210625,1800,,TS,15.8N,103.0W,45,1001,120/90/0/0,0/0/0/0,0/0/0/0
20210626,0000,,TS,16.2N,103.8W,55,993,120/90/30/60,30/20/0/20,0/0/0/0
20210626,0600,,TS,16.5N,104.5W,60,988,120/90/30/60,40/20/0/20,0/0/0/0
20210626,1200,,HU,16.8N,105.1W,70,983,120/90/30/60,40/30/0/20,20/0/0/0
20210626,1800,,HU,16.9N,105.6W,75,978,120/90/30/60,40/30/20/40,20/15/0/20
20210627,0000,,HU,17.1N,105.9W,75,977,120/90/30/60,40/30/20/40,20/15/0/20
20210627,0600,,HU,17.5N,105.9W,80,973,110/90/60/100,40/40/20/40,20/20/0/20
20210627,1200,,HU,18.0N,105.8W,80,973,100/90/90/100,40/40/20/40,20/20/0/20
20210627,1800,,HU,18.7N,105.7W,80,972,90/90/80/90,40/50/40/40,20/20/0/20
20210628,0000,,HU,19.4N,105.9W,80,972,80/90/80/90,40/50/40/40,20/20/0/20
20210628,0600,,HU,19.8N,106.2W,75,975,80/90/80/90,40/50/40/40,20/20/0/20
20210628,1200,,HU,20.2N,106.6W,70,978,70/80/70/70,30/40/40/40,15/15/0/15
20210628,1800,,TS,20.5N,107.0W,60,983,70/80/70/70,30/40/30/30,0/0/0/0
20210629,0000,,TS,20.9N,107.3W,50,992,60/60/60/60,30/30/20/20,0/0/0/0
20210629,0600,,TS,21.5N,107.4W,45,995,60/60/40/40,0/0/0/0,0/0/0/0
20210629,1200,,TS,22.2N,107.5W,40,999,40/40/0/0,0/0/0/0,0/0/0/0
20210629,1800,,TS,22.9N,108.0W,35,1003,30/30/0/0,0/0/0/0,0/0/0/0
20210630,0000,,TS,23.5N,108.7W,35,1003,30/0/0/0,0/0/0/0,0/0/0/0
20210630,0600,,TS,24.0N,109.3W,35,1003,30/0/0/0,0/0/0/0,0/0/0/0
20210630,1200,,TD,24.3N,109.8W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
