date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20210730,1200,,TS,11.9N,111.8W,35,1004,90/90/0/0,0/0/0/0,0/0/0/0
20210730,1800,,TS,12.3N,113.0W,40,1003,90/90/0/0,0/0/0/0,0/0/0/0
20210731,0000,,TS,12.7N,114.1W,45,1002,90/90/0/0,0/0/0/0,0/0/0/0
20210731,0600,,TS,13.2N,115.2W,50,1000,90/90/0/70,50/0/0/0,0/0/0/0
20210731,1200,,TS,13.6N,116.3W,55,997,90/90/40/70,50/0/0/0,0/0/0/0
20210731,1800,,HU,14.0N,117.4W,65,991,70/80/50/70,40/40/30/40,20/0/0/0
20210801,0000,,HU,14.2N,118.3W,75,985,70/80/50/70,40/40/30/40,20/20/0/20
20210801,0600,,HU,14.4N,119.0W,75,985,70/80/50/70,40/40/30/40,20/20/0/20
20210801,1200,,HU,14.5N,119.7W,75,985,70/80/50/70,40/40/30/40,20/20/15/20
20210801,1800,,HU,14.6N,120.4W,75,985,70/80/50/70,40/40/30/40,20/20/15/20
20210802,0000,,HU,14.8N,121.1W,70,988,70/80/50/70,40/30/30/40,20/15/10/20
20210802,0600,,HU,15.0N,121.7W,70,988,60/80/50/60,30/30/30/30,15/15/10/15
20210802,1200,,HU,15.3N,122.2W,70,988,60/80/50/60,30/30/30/30,15/15/10/15
20210802,1800,,HU,15.7N,122.7W,70,988,70/80/50/70,30/40/30/30,15/15/10/15
20210803,0000,,HU,16.2N,123.2W,65,991,70/80/50/70,30/40/30/30,10/15/0/10
20210803,0600,,TS,16.7N,123.7W,60,994,60/70/50/60,30/30/20/30,0/0/0/0
20210803,1200,,TS,17.2N,124.3W,55,997,60/70/50/60,30/30/20/30,0/0/0/0
20210803,1800,,TS,17.6N,124.8W,50,1000,80/70/50/60,30/30/0/30,0/0/0/0
20210804,0000,,TS,18.1N,125.5W,45,1002,80/70/50/60,0/0/0/0,0/0/0/0
20210804,0600,,TS,18.5N,126.2W,40,1004,70/70/40/60,0/0/0/0,0/0/0/0
20210804,1200,,TS,18.9N,126.9W,40,1004,60/60/40/60,0/0/0/0,0/0/0/0
20210804,1800,,TS,19.2N,127.6W,40,1004,60/50/0/40,0/0/0/0,0/0/0/0
20210805,0000,,TS,19.5N,128.2W,40,1004,60/50/0/40,0/0/0/0,0/0/0/0
20210805,0600,,TS,20.0N,128.8W,40,1004,60/50/0/40,0/0/0/0,0/0/0/0
20210805,1200,,TS,20.6N,129.7W,35,1005,40/30/0/30,0/0/0/0,0/0/0/0
20210805,1800,,TS,21.3N,130.7W,35,1005,30/0/0/30,0/0/0/0,0/0/0/0
20210806,0000,,TD,22.0N,131.7W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20210806,0600,,LO,22.5N,132.8W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20210806,1200,,LO,22.8N,133.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20210806,1800,,LO,22.8N,134.3W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20210807,0000,,LO,22.6N,134.7W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
