date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20210809,1200,,LO,12.1N,98.2W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20210809,1800,,LO,12.3N,99.1W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20210810,0000,,LO,12.5N,99.8W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20210810,0600,,TD,12.9N,100.6W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20210810,1200,,TS,13.4N,101.5W,35,1006,60/60/0/30,0/0/0/0,0/0/0/0
20210810,1800,,TS,13.9N,102.3W,40,1004,80/80/0/40,0/0/0/0,0/0/0/0
20210811,0000,,TS,14.1N,103.2W,45,1002,80/80/90/50,0/0/0/0,0/0/0/0
20210811,0600,,TS,14.1N,104.2W,50,1000,80/80/90/70,20/0/0/20,0/0/0/0
20210811,1200,,TS,13.8N,105.1W,55,998,80/80/90/70,30/0/0/30,0/0/0/0
20210811,1800,,TS,13.7N,105.7W,55,997,80/80/90/70,30/0/0/30,0/0/0/0
20210812,0000,,TS,13.8N,106.2W,55,997,90/80/90/70,40/30/0/20,0/0/0/0
20210812,0600,,TS,14.1N,106.8W,60,993,90/80/90/60,40/30/0/0,0/0/0/0
20210812,1200,,HU,14.5N,107.4W,65,991,90/80/90/60,40/30/0/0,20/0/0/0
20210812,1800,,HU,15.0N,108.2W,65,990,90/90/90/60,40/40/0/30,20/0/0/0
20210813,0000,,HU,15.5N,109.2W,70,987,100/100/100/70,40/40/20/30,20/15/0/0
20210813,0600,,HU,16.0N,110.1W,80,980,100/100/100/70,40/30/20/30,20/15/10/15
20210813,1200,,HU,16.6N,111.2W,90,972,100/100/80/70,40/30/30/30,20/15/10/15
20210813,1800,,HU,17.2N,112.3W,100,966,100/90/60/80,50/40/30/40,25/15/10/20
20210814,0000,,HU,17.7N,113.3W,105,964,100/90/60/90,50/40/30/40,25/15/10/20
20210814,0600,,HU,18.2N,114.3W,105,962,100/100/70/100,50/50/30/40,25/20/10/20
20210814,1200,,HU,18.6N,115.5W,115,953,100/100/70/100,50/50/30/40,25/20/10/20
20210814,1800,,HU,18.9N,116.5W,115,953,100/100/70/100,50/50/30/50,25/20/15/25
20210815,0000,,HU,19.2N,117.7W,110,957,100/90/70/100,50/50/30/50,25/20/15/25
20210815,0600,,HU,19.2N,118.7W,105,961,90/70/70/90,50/40/30/50,25/20/15/25
20210815,1200,,HU,19.1N,119.7W,100,965,90/70/70/90,50/40/30/40,25/20/15/20
20210815,1800,,HU,18.9N,120.7W,95,969,90/60/60/90,50/30/30/40,25/20/15/20
20210816,0000,,HU,18.7N,121.6W,95,969,90/60/60/90,50/30/30/40,25/20/15/20
20210816,0600,,HU,18.3N,122.5W,90,972,80/70/70/90,40/40/40/50,25/25/20/30
20210816,1200,,HU,18.0N,123.3W,90,972,80/70/70/90,40/40/40/50,25/25/20/30
20210816,1800,,HU,17.8N,124.1W,85,974,90/70/70/90,40/40/30/50,25/25/20/30
20210817,0000,,HU,17.7N,125.0W,80,978,90/70/70/90,40/40/30/50,25/25/20/30
20210817,0600,,HU,17.6N,126.0W,75,982,80/70/70/80,40/40/30/40,25/25/20/25
20210817,1200,,HU,17.5N,126.9W,80,980,80/70/70/80,40/40/30/40,25/25/20/25
20210817,1800,,HU,17.6N,127.8W,85,977,80/70/60/80,40/40/30/40,25/25/20/25
20210818,0000,,HU,17.7N,129.0W,90,974,80/70/60/80,40/30/30/40,25/25/20/25
20210818,0600,,HU,17.9N,130.1W,90,972,80/70/60/80,40/30/30/40,25/25/20/25
20210818,1200,,HU,18.1N,131.3W,95,970,80/70/60/80,40/30/30/40,25/25/20/25
20210818,1800,,HU,18.5N,132.5W,90,974,80/70/60/70,40/30/30/40,25/20/15/25
20210819,0000,,HU,19.0N,134.0W,80,981,70/60/50/70,40/30/30/40,20/15/10/20
20210819,0600,,HU,19.4N,135.5W,70,989,70/50/50/70,30/30/20/30,15/10/0/20
20210819,1200,,TS,19.6N,137.0W,55,997,70/50/50/70,30/30/20/30,0/0/0/0
20210819,1800,,LO,19.6N,138.7W,45,1003,60/40/40/60,0/0/0/0,0/0/0/0
20210820,0000,,LO,19.8N,140.3W,40,1006,60/20/20/60,0/0/0/0,0/0/0/0
20210820,0600,,LO,19.9N,141.8W,40,1006,60/0/0/60,0/0/0/0,0/0/0/0
20210820,1200,,LO,20.0N,143.3W,35,1007,50/0/0/50,0/0/0/0,0/0/0/0
20210820,1800,,LO,19.9N,144.7W,35,1007,50/0/0/50,0/0/0/0,0/0/0/0
