date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20210823,0000,,TS,19.6N,108.9W,35,1004,40/0/60/60,0/0/0/0,0/0/0/0
20210823,0600,,TS,20.0N,110.3W,35,1003,40/0/60/60,0/0/0/0,0/0/0/0
20210823,1200,,TS,20.5N,111.8W,40,1002,40/30/50/50,0/0/0/0,0/0/0/0
20210823,1800,,TS,20.7N,113.4W,40,1002,40/30/40/50,0/0/0/0,0/0/0/0
20210824,0000,,TS,20.7N,115.0W,35,1003,40/30/40/50,0/0/0/0,0/0/0/0
20210824,0600,,LO,20.6N,116.4W,30,1005,0/0/0/0,0/0/0/0,0/0/0/0
20210824,1200,,LO,20.6N,117.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20210824,1800,,LO,20.5N,118.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20210825,0000,,LO,20.5N,119.6W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20210825,0600,,LO,20.5N,120.5W,30,1006,0/0/0/0,0/0/0/0,0/0/0/0
20210825,1200,,LO,20.6N,121.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20210825,1800,,LO,20.6N,122.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20210826,0000,,LO,20.7N,123.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20210826,0600,,LO,20.7N,124.5W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20210826,1200,,LO,20.6N,125.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20210826,1800,,LO,20.5N,126.7W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20210827,0000,,LO,20.2N,127.8W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20210827,0600,,LO,19.7N,129.0W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
