date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20211102,1800,,LO,8.8N,84.9W,20,1009,0/0/0/0,0/0/0/0,0/0/0/0
20211103,0000,,LO,8.6N,85.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20211103,0600,,LO,8.6N,86.0W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211103,1200,,LO,8.7N,86.6W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211103,1800,,LO,8.7N,87.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211104,0000,,LO,8.7N,88.3W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211104,0600,,TD,9.0N,89.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211104,1200,,TD,9.2N,89.7W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211104,1800,,TD,9.5N,90.3W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211105,0000,,TD,9.7N,90.8W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211105,0600,,TD,9.7N,91.4W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211105,1200,,TD,9.5N,92.0W,25,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211105,1800,,TD,9.2N,92.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20211106,0000,,TD,8.9N,93.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20211106,0600,,TD,8.7N,94.9W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211106,1200,,TD,8.5N,96.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211106,1800,,TD,8.3N,97.1W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211107,0000,,TD,8.2N,98.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211107,0600,,TD,8.2N,99.7W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211107,1200,,TS,8.2N,100.9W,35,1006,0/60/0/0,0/0/0/0,0/0/0/0
20211107,1800,,TS,8.5N,102.2W,35,1006,60/60/0/0,0/0/0/0,0/0/0/0
20211108,0000,,TS,9.0N,103.4W,35,1006,80/0/0/0,0/0/0/0,0/0/0/0
20211108,0600,,TS,9.5N,104.6W,35,1006,80/0/0/0,0/0/0/0,0/0/0/0
20211108,1200,,TD,9.9N,106.0W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211108,1800,,TD,10.3N,107.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211109,0000,,TD,10.7N,108.7W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211109,0600,,TD,11.1N,109.9W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211109,1200,,TD,11.4N,111.1W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20211109,1800,,TD,11.6N,112.3W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20211110,0000,,TD,11.8N,113.6W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20211110,0600,,TD,11.8N,114.9W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
20211110,1200,,TD,11.7N,116.4W,25,1008,0/0/0/0,0/0/0/0,0/0/0/0
