date,time_utc,record,status,lat,lng,max_wind_kt,min_pressure_mb,34kt_wind_nm,50kt_wind_nm,64kt_wind_nm
20211107,0600,,TD,13.3N,112.4W,30,1007,0/0/0/0,0/0/0/0,0/0/0/0
20211107,1200,,TS,13.5N,113.5W,35,1006,60/60/0/0,0/0/0/0,0/0/0/0
20211107,1800,,TS,13.8N,114.6W,35,1006,80/80/0/0,0/0/0/0,0/0/0/0
20211108,0000,,TS,14.1N,115.5W,35,1005,80/80/0/0,0/0/0/0,0/0/0/0
20211108,0600,,TS,14.2N,116.1W,35,1006,70/0/0/0,0/0/0/0,0/0/0/0
20211108,1200,,TS,14.4N,116.6W,35,1006,70/0/0/0,0/0/0/0,0/0/0/0
20211108,1800,,TD,14.9N,117.3W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20211109,0000,,TD,15.1N,118.2W,30,1008,0/0/0/0,0/0/0/0,0/0/0/0
20211109,0600,,TD,15.0N,119.1W,25,1009,0/0/0/0,0/0/0/0,0/0/0/0
20211109,1200,,TD,14.7N,120.1W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20211109,1800,,LO,14.4N,121.5W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
20211110,0000,,LO,14.1N,123.0W,25,1010,0/0/0/0,0/0/0/0,0/0/0/0
